Business_Name,License_Number,Street,City,State,ZIP,County,Phone,Latitude,Longitude,Last_Updated
"Good Day Farm Dispensary, Gdf Dispensary, Good Day Farm",DIS000212,319 E Ashley Rd,Boonville,MO,65233,Cooper,660-596-0623,38.967643,-92.744108,"March 11, 2026"
C Cannabis Dispensary; Codes Cannabis; Codes Cannabis Dispensary; Codes Supreme Cannabis,DIS000030,941 Washington St,Chillicothe,MO,64601,Livingston,660-240-1131,39.776821,-93.552287,"March 11, 2026"
Greenlight Dispensary,DIS000005,9800 Manchester Road Suite C,Rock Hill,MO,63119,St. Charles,636-794-1840,38.606634,-90.372565,"March 11, 2026"
Key Cannabis Dispensary,DIS000200,4730 Mid Rivers Mall Drive,Cottleville,MO,63376,St. Charles,314-813-3058,38.757699,-90.636424,"March 11, 2026"
Key Cannabis Dispensary; Key Dispensary,DIS000114,1026 Brentwood Blvd,Richmond Heights,MO,63117,St. Louis,620-921-5967,38.636922,-90.345261,"March 11, 2026"
Square Grouper; Square Grouper Dispensary,DIS000194,28744 Highway 5,Gravois Mills,MO,65037,Morgan,319-521-1850,38.27124,-92.823149,"March 11, 2026"
High Profile Cannabis Shop,DIS000215,42 Arnage Road,Chesterfield,MO,63005,St. Louis,734-412-4600,38.668881,-90.613855,"March 11, 2026"
Hippos Marijuana Dispensary,DIS000129,"17409 Chesterfield Airport Rd, G",Chesterfield,MO,63005,St. Louis,312-925-1217,38.66894,-90.608083,"March 11, 2026"
Proper Cannabis,DIS000073,10855 Manchester Rd,Kirkwood,MO,63122,St. Louis,314-749-2677,38.600105,-90.408641,"March 11, 2026"
"Proper Brands, Proper Cannabis",DIS000208,12430 St. Charles Rock Road,Bridgeton,MO,63044,St. Louis,314-749-2677,38.755396,-90.431346,"March 11, 2026"
C Cannabis Dispensary; Codes Cannabis; Codes Cannabis Dispensary; Codes Supreme Cannabis,DIS000184,124 Richard Drive,West Alton,MO,63386,St. Charles,557-223-1872,38.860797793,-90.221106433,"March 11, 2026"
Key Cannabis Dispensary,DIS000007,121 S. Walnut Street,Cameron,MO,64429,Clinton,816-831-3877,39.739159010,-94.235748041,"March 11, 2026"
Greenlight Dispensary,DIS000108,1729 E 7th St,Joplin,MO,64801,Jasper,872-302-0293,37.083935,-94.495915,"March 11, 2026"
"Missouri Made Marijuana, Kabunky, Farm Direct, Low Key",DIS000109,1502 S Range Line Rd,Joplin,MO,64804,Jasper,702-496-3051,37.073727,-94.4782423,"March 11, 2026"
Verts; Verts Dispensary; Verts Neighborhood Dispensary,DIS000091,25733 Fir Rd,Joplin,MO,64801,Jasper,614-295-7521,37.143683,-94.521907,"March 11, 2026"
Good Day Farm Dispensary; Good Day Farm; Gdf Dispensary,DIS000084,2918 E 20th St,Joplin,MO,64804,Jasper,417-580-0140,37.06892,-94.47874,"March 11, 2026"
Flora Farms,DIS000081,4027 Richard Joseph Blvd,Joplin,MO,64804,Jasper,417-850-9999,37.043925983,-94.479345006,"March 11, 2026"
"Good Day Farm, Good Day Farm Dispensary, Gdf Dispensary",DIS000156,1730 U.S. Hwy 160,Mindenmines,MO,64769,Barton,660-492-5952,37.470484,-94.615945,"March 11, 2026"
"Sunrise, Dispensary, Sunrise Dispensary, Sunrise Marijuana Dispensary",DIS000032,2316 S. Main St,Maryville,MO,64468,Nodaway,660-249-2006,40.32321,-94.874671,"March 11, 2026"
'3fifteen Primo' Or '3fifteen' Or '3fifteen Primo Cannabis',DIS000121,839 Meramec Station Rd,Valley Park,MO,63088,St. Louis,573-529-0312,38.5602509,-90.4931456,"March 11, 2026"
Blue Sage Cannabis Deli; Blue Sage Cannabis Co.,DIS000080,2093 Smizer Station Rd,Valley Park,MO,63088,St. Louis,223-488-7346,38.5371004,-90.4950661,"March 11, 2026"
"Swade Eureka, Llc; Swade",DIS000079,108 C Hilltop Village Center Dr,Eureka,MO,63025,St. Louis,734-395-3658,38.5062573,-90.6368038,"March 11, 2026"
Greenlight Dispensary,DIS000224,105 Speedys Dr,Rock Port,MO,64482,Atchison,816-588-8838,40.40659,-95.552823,"March 11, 2026"
Kind Goods Medical Dispensary; Kind Goods,DIS000142,"180 Gravois Bluffs Cir, Ste B",Fenton,MO,63026,St. Louis,314-223-6680,38.502602986,-90.44498296,"March 11, 2026"
North,DIS000136,929 Peachtree Plaza Dr,Hillsboro,MO,63050,Jefferson,636-375-1860,38.220791928,-90.575504434,"March 11, 2026"
"Blue Sage Cannabis Deli, Dispensary Outlet, Come See Your Buds",DIS000187,1210 Deadra Dr,Lebanon,MO,65536,Laclede,417-991-3491,37.6685271,-92.6366297,"March 11, 2026"
"C Cannabis Dispensary, Codes Cannabis, Codes Cannabis Dispensary, Codes Supreme Cannabis",DIS000058,10834 Saint Charles Rock Rd,St. Ann,MO,63074,St. Louis,314-266-9903,38.733729,-90.39266,"March 11, 2026"
Heya Dispensary,DIS000020,10417a Saint Charles Rock Rd,St. Ann,MO,63074,St. Louis,314-560-2414,38.728569,-90.3831382,"March 11, 2026"
Flora Farms,DIS000148,68 E 300th Road,Humansville,MO,65674,Polk,417-850-9999,37.828531,-93.616829,"March 11, 2026"
Flora Farms,DIS000106,70 Missouri Ln,Pineville,MO,64856,McDonald,417-850-9999,36.503879,-94.2755,"March 11, 2026"
High Profile Cannabis Shop,DIS000101,35 Macadoodle Lane,Pineville,MO,64856,McDonald,734-412-4600,36.503445,-94.278075,"March 11, 2026"
C Cannabis Dispensary; Codes Cannabis; Codes Cannabis Dispensary; Codes Supreme Cannabis,DIS000222,1201 Vincent Drive,Perryville,MO,63775,Perry,573-440-0967,37.707019,-89.892314,"March 11, 2026"
Missouri Wild Alchemy,DIS000176,2173 W Terra Ln,O Fallon,MO,63366,St. Charles,314-709-1745,38.806149,-90.76926,"March 11, 2026"
Terrabis,DIS000155,1172 W Terra Ln,O Fallon,MO,63366,St. Charles,314-369-8905,38.804304,-90.732656,"March 11, 2026"
Nature Med Dispensary,DIS000152,1193 Bryan Road,O Fallon,MO,63366,St. Charles,618-210-1577,38.790336,-90.737258,"March 11, 2026"
"Sunrise, Dispensary, Sunrise Dispensary, Sunrise Marijuana Dispensary",DIS000186,2750 Nw 7 Highway,Clinton,MO,64735,Henry,660-249-2034,38.389079,-93.807519,"March 11, 2026"
Flora Farms,DIS000223,165 Hollister Parkway,Hollister,MO,65672,Taney,417-850-9999,36.60619,-93.231651306,"March 11, 2026"
The Dispensary,DIS000093,15335 State Hwy 76,Cassville,MO,65625,Barry,417-830-8997,36.671625,-93.864577,"March 11, 2026"
High Profile Cannabis Shop; High Profile,DIS000103,10425 Watson Rd,St. Louis,MO,63127,St. Louis,248-255-1283,38.5561128,-90.4040387,"March 11, 2026"
Ozark Mountain Healing,DIS000227,4713 W State Highway 90,Noel,MO,64854,McDonald,417-988-1523,36.536264,-94.47471,"March 11, 2026"
Codes Cannabis; Codes Cannabis Dispensary; C Cannabis Dispensary; Codes Supreme Cannabis,DIS000216,3646 State Highway Ac,Cardwell,MO,63829,Dunklin,417-988-6842,36.039280510,-90.337518894,"March 11, 2026"
Good Day Farm Dispensary; Good Day Farm; Gdf Dispensary,DIS000179,"1909 N Service Rd E, B",St. Clair,MO,63077,Franklin,636-322-4054,38.364414,-90.979097,"March 11, 2026"
Stairway Cannabis Dispensary Blue Springs,DIS000062,490 Sw Mo-7 Hwy,Blue Springs,MO,64015,Jackson,615-881-0708,39.01417,-94.27217,"March 11, 2026"
"Kansas City Cannabis Co., Kansas City Cannabis, Kc Cannabis, Kcc",DIS000013,1117 Nw State Route 7,Blue Springs,MO,64015,Jackson,816-223-7159,39.031486,-94.273161,"March 11, 2026"
Swade Cannabis - Rolla; Swade Cannabis Dispensary,DIS000196,1031 Kingshighway,Rolla,MO,65401,Phelps,636-448-6021,37.944923,-91.782803,"March 11, 2026"
Trinity,DIS000127,"1421 Forum Dr, A1 And B1",Rolla,MO,65401,Phelps,573-247-4347,37.954397,-91.7525558,"March 11, 2026"
"Good Day Farm Dispensary, Good Day Farm, Gdf Dispensary",DIS000213,20021 E State Hwy N,Eagleville,MO,64442,Harrison,660-596-0625,40.46609,-93.974419,"March 11, 2026"
Fresh Karma Dispensaries; Fresh+Karma Dispensaries,DIS000105,18490 Business 13,Branson West,MO,65737,Stone,417-272-1105,36.701522,-93.369104,"March 11, 2026"
'3fifteen Primo' Or '3fifteen' Or '3fifteen Primo Cannabis',DIS000085,18031 Business 13,Branson West,MO,65737,Stone,573-529-0312,36.697634,-93.369309,"March 11, 2026"
Key Cannabis Dispensary,DIS000064,6700-6704 Highway N,O'Fallon,MO,63304,St. Charles,816-831-3877,38.755104592,-90.697910744,"March 11, 2026"
Greenlight Dispensary,DIS000061,3721 S. Noland Road,Independence,MO,64055,Jackson,872-302-0293,39.051987,-94.414464,"March 11, 2026"
Natures Med Dispensary,DIS000059,15823 E Us Highway 24,Independence,MO,64050,Jackson,520-307-9708,39.1157,-94.3861399,"March 11, 2026"
Gdf Dispensary; Good Day Farm; Good Day Farm Dispensary,DIS000054,16820 E. Us Highway 24,Independence,MO,64056,Jackson,816-272-1661,39.118612,-94.379533,"March 11, 2026"
From The Earth Dispensary,DIS000035,19341 E Us Highway 40,Independence,MO,64055,Jackson,913-220-0044,39.029603,-94.354314,"March 11, 2026"
Fresh Karma Dispensaries; Fresh Karma,DIS000229,208 E Young Ave,Warrensburg,MO,64093,Johnson,314-422-3617,38.771125793,-93.736740112,"March 11, 2026"
Swade Cannabis Dispensary; Swade Cannabis,DIS000150,219 W Young Ave,Warrensburg,MO,64093,Johnson,858-848-4588,38.771593,-93.743182,"March 11, 2026"
C Cannabis Dispensary; Codes Cannabis; Codes Cannabis Dispensary; Codes Supreme Cannabis,DIS000134,2421 E Jackson Boulevard,Jackson,MO,63755,Cape Girardeau,573-755-0259,37.366523,-89.640774,"March 11, 2026"
