Tradename,License ,UBI,Street Address,Suite Rm,City,State,county,Zip Code,Priv Desc,Privilege Status,Day Phone
CHOICE RETAIL,421114,6035523050010002,RETAIL TITLE CERTIFICATE,,CAMAS,WA,CLARK,986072454,RETAIL CERTIFICATE HOLDER          ,FORMER TITLE CERTIFICATE,2532250200
CHRONIC SOLUTIONS,415222,6034419610010001,"212 W WINESAP RD STE 101, 102",,BOTHELL,WA,SNOHOMISH,980129210,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4256737420
CINDER                                       ,413940,6033456960010001,7011 N DIVISION ST STE A      ,                         ,SPOKANE                 ,WA,SPOKANE,992083968,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5092930365
CINDER                                       ,414817,6033524120010004,1421 N MULLAN RD STE B        ,                         ,SPOKANE VALLEY          ,WA,SPOKANE,99206    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),5092413091
CINDER,422294,6033456960010004,6010 N DIVISION ST,,SPOKANE,WA,SPOKANE,992081028,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5092413091
CINDER                                       ,422294,6033524120010006,6010 N DIVISION ST            ,                         ,SPOKANE                 ,WA,SPOKANE,99208    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),5092413091
CINDER                                       ,423096,6033423140010004,927 W 2ND AVE STE 1           ,                         ,SPOKANE                 ,WA,SPOKANE,992014501,CANNABIS RETAILER                  ,ACTIVE (ISSUED),5092410110
CLEAR CHOICE CANNABIS,413358,6032670810010002,8001 S HOSMER ST,,TACOMA,WA,PIERCE,984081017,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2064199096
CLEAR CHOICE CANNABIS                        ,413358,6052400560010002,8001 S HOSMER ST              ,                         ,TACOMA                  ,WA,PIERCE,98408    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2068568424
CLEAR CHOICE CANNABIS,421877,6036222590010001,6733 STATE HWY 303 NE,,BREMERTON,WA,KITSAP,983113736,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3606337379
CLEAR CHOICE CANNABIS,421877,6041778340010002,6733 STATE HWY 303 NE,,BREMERTON,WA,KITSAP,983113736,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2538826344
CLEAR CHOICE CANNABIS                        ,421877,6055045750010001,6733 STATE HWY 303 NE         ,                         ,BREMERTON               ,WA,KITSAP,98311    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2068568424
CLEAR CHOICE CANNABIS                        ,439182,6057608440010001,317 S 72ND ST                 ,                         ,TACOMA                  ,WA,PIERCE,984086003,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2068568424
CLEAR MIND CANNABIS                          ,422713,6032012110010003,RETAIL TITLE CERTIFICATE      ,                         ,PASCO                   ,WA,FRANKLIN,993016402,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3607981619
CLEAR MIND CANNABIS                          ,422713,6032012110010003,RETAIL TITLE CERTIFICATE      ,                         ,PASCO                   ,WA,FRANKLIN,993016402,RETAIL CERTIFICATE HOLDER          ,FORMER TITLE CERTIFICATE,3607981619
CLIFFS CANNABIS                              ,414807,6041302810010005,1410 NW GILMAN BLVD STE A     ,                         ,ISSAQUAH                ,WA,KING,98027    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2063355857
CLOUD CANNABIS                               ,414959,6033587180010001,11401 RAINIER AVE S           ,                         ,SEATTLE                 ,WA,KING,98178    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2063624444
CLUTCH CANNABIS                              ,413803,6033522420010001,11537 RAINIER AVE S           ,                         ,SEATTLE                 ,WA,KING,981783984,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2063210149
CM&N ENTERPRISES                             ,422527,6035941580010002,1821 SE 192ND AVE             ,                         ,VANCOUVER               ,WA,CLARK,986070000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2064987301
COLUMBIA HERBAL,413806,6033525730010003,8459 MAIN ST,,DRYDEN,WA,CHELAN,988210000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5033177035
COOKIES TACOMA                               ,412940,6041326560010002,3111 S PINE ST                ,                         ,TACOMA                  ,WA,PIERCE,984094711,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2533023121
COVINGTON HOLISTIC MEDICINE                  ,421555,6030644390010001,16908 SE 269TH PLACE          ,#102 BUILDING J          ,COVINGTON               ,WA,KING,980425468,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2067147733
CPC TWO                                      ,414787,6036161120010001,8600 LAKE CITY WAY NE         ,                         ,SEATTLE                 ,WA,KING,981153260,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2066969765
CRAFT CANNABIS                               ,413732,6033524150010002,6515 E MILL PLAIN BLVD        ,SMP - 1                  ,VANCOUVER               ,WA,CLARK,98661    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),5033417097
CRAFT CANNABIS                               ,414065,6043381880010001,1510 N WENATCHEE AVE          ,                         ,WENATCHEE               ,WA,CHELAN,98801    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),5096799999
"CRAFT CANNABIS, INC.                         ",427458,6045325900010001,2616 NE 112TH AVE             ,                         ,VANCOUVER               ,WA,CLARK,986844284,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5033417097
"CRAFT CANNABIS, INC.                         ",431536,6045325900010002,8603 NE ANDRESEN RD           ,                         ,VANCOUVER               ,WA,CLARK,98665    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),5033417097
CRAFT LEAVENWORTH                            ,085059,6047800470010001,8459 MAIN ST  UNIT B          ,UNIT B                   ,DRYDEN                  ,WA,CHELAN,98821    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),5033417097
CRAFT TACOMA                                 ,423372,6034797720010003,2128 S 37TH ST                ,                         ,TACOMA                  ,WA,PIERCE,984097445,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2536550420
CRAFT WENATCHEE                              ,415645,6056226540010001,907 N WENATCHEE AVENUE STE B  ,                         ,WENATCHEE               ,WA,CHELAN,98801    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),5098888241
CREDIBLE COMMODITIES                         ,421576,6035649850010001,RETAIL TITLE CERTIFICATE      ,                         ,EVERETT                 ,WA,SNOHOMISH,982015082,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2066508928
CREDIBLE COMMODITIES                         ,421576,6035649850010001,RETAIL TITLE CERTIFICATE      ,                         ,EVERETT                 ,WA,SNOHOMISH,982015082,RETAIL CERTIFICATE HOLDER          ,FORMER TITLE CERTIFICATE,2066508928
CREME OF THE CROP LLC,414663,6033553100010004,6307 NE ST JOHNS RD SUITE E,,VANCOUVER,WA,CLARK,986611246,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2066536463
CROSSMATCH                                   ,077000,6041450900010002,15041 BOTHELL WAY NE          ,                         ,LAKE FOREST PARK        ,WA,KING,981557603,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2064202148
CULT CANNABIS CO.                            ,413729,6033507270010001,6061 PORTAL WAY               ,                         ,FERNDALE                ,WA,WHATCOM,98248    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3606762539
CUTIE JUDY'S CANNABIS COMPANY                ,422234,6033820290010002,10 VALUE PARKWAY STE A        ,STE A                    ,ELMA                    ,WA,GRAYS HARBOR,984455527,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2532412948
CUTIE JUDY'S CANNABIS COMPANY                ,432456,6033820290010005,5613 OLYMPIC HWY              ,                         ,ABERDEEN                ,WA,GRAYS HARBOR,98520    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3604955938
DABNABBITS,420764,6033524760010005,1096 HWY 153,,METHOW,WA,OKANOGAN,988340000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5098607111
DADANKO                                      ,422097,6035831590010002,529 E HWY 395  STE A          ,SUITE A                  ,KETTLE FALLS            ,WA,STEVENS,991415605,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5094750723
DADANKO,426632,6035831590010005,6063B HIGHWAY 291,,NINE MILE FALLS,WA,STEVENS,990269565,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5097106899
DANK OF AMERICA                              ,414539,6045989840010004,5309 GUIDE MERIDIAN STE A     ,                         ,BELLINGHAM              ,WA,WHATCOM,98226    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),4252314439
DANK OF AMERICA                              ,422817,6036038240010001,2530 PEACE PORTAL DR STE B    ,                         ,BLAINE                  ,WA,WHATCOM,982308063,CANNABIS RETAILER                  ,ACTIVE (ISSUED),4252314439
DANK'S WONDER EMPORIUM,364799,6035723460010003,7207 212TH ST SW,,EDMONDS,WA,SNOHOMISH,980207735,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3609154944
DANK'S WONDER EMPORIUM                       ,364799,6048256220010001,7207 212TH ST SW              ,                         ,EDMONDS                 ,WA,SNOHOMISH,98020    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2064583155
DANK'S WONDER EMPORIUM,412485,6033500690010002,136 STEWART RD SE SUITE 1-G,,PACIFIC,WA,PIERCE,980472143,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3234543767
DANK'S WONDER EMPORIUM,412485,6033500690010002,136 STEWART RD SE SUITE 1-G,,PACIFIC,WA,PIERCE,980472143,RETAIL CERTIFICATE HOLDER          ,FORMER TITLE CERTIFICATE,3234543767
DANK'S WONDER EMPORIUM                       ,412485,6033500690010002,RETAIL TITLE CERTIFICATE      ,                         ,CENTRALIA               ,WA,LEWIS,985313338,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3234543767
DANK'S WONDER EMPORIUM                       ,412485,6033500690010002,RETAIL TITLE CERTIFICATE      ,                         ,CENTRALIA               ,WA,LEWIS,985313338,RETAIL CERTIFICATE HOLDER          ,FORMER TITLE CERTIFICATE,3234543767
DANK'S WONDER EMPORIUM                       ,430691,6033500690010008,203 KINWOOD ST SE             ,                         ,LACEY                   ,WA,THURSTON,985031445,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3609158468
"DANK'S WONDER EMPORIUM, LLC                  ",415041,6033500690010004,9333 MARTIN WAY E             ,STE 102                  ,OLYMPIA                 ,WA,THURSTON,985165969,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3234543767
"DANK'S WONDER EMPORIUM, LLC                  ",423571,6033500690010007,6906 MARTIN WAY E  STE A      ,STE A                    ,OLYMPIA                 ,WA,THURSTON,985165567,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2535075435
DANK’S TACOMA                                ,441109,6056771600010001,2632 S 38TH ST STE A          ,                         ,TACOMA                  ,WA,PIERCE,984097304,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2536257628
DANKS                                        ,442981,6059391980010001,14300 SE PETROVITSKY RD STE C ,                         ,RENTON                  ,WA,KING,980588955,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2062272980
DASH & WRIGLEY LLC                           ,422303,6046288750010001,13003 TUKWILA INTERNATIONAL BL,UNIT A                   ,TUKWILA                 ,WA,KING,98168    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2062277687
DAVE'S PLACE                                 ,415202,6033561310010002,10 MAPLE GROVE RD             ,                         ,SUNNYSIDE               ,WA,YAKIMA,989440000,CANNABIS RETAILER                  ,ACTIVE (ISSUED),5098300275
DESTINATION HIGHWAY 420                      ,414503,6034539570010001,1225 HOLLIS ST                ,                         ,BREMERTON               ,WA,KITSAP,98310    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3606278754
DIAMOND GREEN                                ,413374,6033542940010001,4002 S 12TH ST                ,                         ,TACOMA                  ,WA,PIERCE,984051509,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2532225697
DIEGO PELLICER                               ,415379,6032576780010003,3540 STONE WAY N STE B        ,                         ,SEATTLE                 ,WA,KING,981030000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2066240070
DIEGO PELLICER,423754,6032576780010004,2215 4TH AVE S,,SEATTLE,WA,KING,981341516,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2064553045
DISCOVERY BAY CANNABIS                       ,423036,6035859930010001,282023 HWY 101                ,                         ,PORT TOWNSEND           ,WA,JEFFERSON,983689331,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2066607221
DISPO 42                                     ,429044,6036041010010002,4204 RUSSELL RD STE M         ,                         ,MUKILTEO                ,WA,SNOHOMISH,982755424,CANNABIS RETAILER                  ,ACTIVE (ISSUED),4255318999
DISTRICT 420,421332,6035603240010001,3405 4TH AVE S,,SEATTLE,WA,KING,981341904,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2532134741
DOCKSIDE CANNABIS                            ,414174,6033563140010001,1728 4TH AVE S                ,                         ,SEATTLE                 ,WA,KING,981341502,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2063505366
DOCKSIDE CANNABIS                            ,414569,6033546970010003,15001 AURORA AVE N            ,STE 15029                ,SHORELINE               ,WA,KING,98133    ,CANNABIS RETAILER                  ,CLOSED (TEMPORARY),2068068759
DOCKSIDE CANNABIS                            ,424463,6035692810010002,4601 LEARY WAY NW             ,                         ,SEATTLE                 ,WA,KING,981074544,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2068068742
DOCKSIDE CANNABIS                            ,430807,6035692220010004,8401 AURORA AVE N STE E1      ,                         ,SEATTLE                 ,WA,KING,981034332,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2065564067
DOUGLAS COUNTY 502                           ,412865,6034219970010001,2512 FOSTER CREEK AVE         ,                         ,BRIDGEPORT              ,WA,DOUGLAS,98813    ,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5033177035
DRYDEN CANNABIS COMPANY,085059,6047542880010001,8459 MAIN ST  UNIT B,UNIT B,DRYDEN,WA,CHELAN,988210000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3606063260
EMERALD CITY CRONICS,424633,6035502700010001,RETAIL TITLE CERTIFICATE,,OTHELLO,WA,FRANKLIN,993440000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2067908124
EMERALD CITY CRONICS,424633,6035502700010001,RETAIL TITLE CERTIFICATE,,OTHELLO,WA,FRANKLIN,993440000,RETAIL CERTIFICATE HOLDER          ,FORMER TITLE CERTIFICATE,2067908124
EMERALD COAST                                ,420416,6034157540010001,939 N CALLOW AVE # 100-B      ,                         ,BREMERTON               ,WA,KITSAP,983123806,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3608131006
EMERALD COAST                                ,437875,6034157540010006,6721 KITSAP WAY BLDG 1        ,UNIT A&D                 ,BREMERTON               ,WA,KITSAP,98312    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3608131006
EMERALD HAZE CANNABIS EMPORIUM,414841,6033564060010002,4033 NE SUNSET BLVD UNIT 5,,RENTON,WA,KING,980564003,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2533069151
EMERALD LEAVES,413363,6019827290010002,2702 6TH AVE,,TACOMA,WA,PIERCE,984067213,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2063991361
EMERALD LEAVES                               ,413363,6035615210010001,2702 6TH AVE STE A            ,                         ,TACOMA                  ,WA,PIERCE,984067213,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2064825627
EMERALD LEAVES                               ,434372,6035615210010003,2609 6TH AVE STE 1            ,                         ,TACOMA                  ,WA,PIERCE,984067226,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2064825627
EPHEMERAL TOAST,421619,6035692810010001,8401 AURORA AVE N STE F,,SEATTLE,WA,KING,981034332,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2066186094
ESHO FUNI,421618,6035692220010001,8401 AURORA AVE. N. STE A,,SEATTLE,WA,KING,981034332,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2068568781
ESHO FUNI                                    ,427158,6035692220010003,8401 AURORA AVE N STE E       ,                         ,SEATTLE                 ,WA,KING,981034332,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2068568781
EUPHORIC 360,425185,6035518250010007,6326 MARTIN WAY E STE 103,,LACEY,WA,THURSTON,985165561,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2063600295
EUPHORIC 360,425185,6040140410010001,6326 MARTIN WAY E STE 103,,LACEY,WA,THURSTON,985165561,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3608922878
EUPHORIUM                                    ,414495,6033549340010003,21127 STATE ROUTE 9 SE        ,                         ,WOODINVILLE             ,WA,SNOHOMISH,980729703,CANNABIS RETAILER                  ,ACTIVE (ISSUED),4254080556
EUPHORIUM 420                                ,084130,6033543680010004,19525 BOTHELL EVERETT HWY A   ,                         ,BOTHELL                 ,WA,SNOHOMISH,980127116,CANNABIS RETAILER                  ,CLOSED (PERMANENT),9168359616
EUPHORIUM 420                                ,414491,6033549480010002,27623 COVINGTON WAY SE UNIT 1 ,                         ,COVINGTON               ,WA,KING,98042    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),4255774533
EUPHORIUM 420                                ,414500,6033538920010001,20925 CYPRESS WAY STE C-103   ,                         ,LYNNWOOD                ,WA,SNOHOMISH,98036    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),4255774533
EUPHORIUM 420                                ,420895,6041488560010001,17917 VASHON HWY SW           ,                         ,VASHON                  ,WA,KING,98070    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),4255774533
EUPHORIUM 420                                ,422120,6033543680010004,13813 HWY 99                  ,                         ,LYNNWOOD                ,WA,SNOHOMISH,980871723,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4255774533
EUPHORIUM 420                                ,434063,6033543680010006,26828 WA-9                    ,                         ,ARLINGTON               ,WA,SNOHOMISH,98223    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),4256780271
EUPHORIUM LYNNWOOD                           ,414496,6033543680010001,21127 STATE RT 9 SE           ,UNIT B                   ,WOODINVILLE             ,WA,SNOHOMISH,980729703,CANNABIS RETAILER                  ,CLOSED (PERMANENT),9168359616
EVERETT CANNABIS                             ,421448,6035584490010003,11627 AIRPORT RD              ,SUITE F                  ,EVERETT                 ,WA,SNOHOMISH,982048714,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2068908368
EVERGREEN CANNABIS,415064,6033581770010002,922 PEACE PORTAL DR,,BLAINE,WA,WHATCOM,982304409,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3603328922
EVERGREEN MARKET - AUBURN                    ,414714,6033577780010001,402 16TH ST NE STE A-100      ,                         ,AUBURN                  ,WA,KING,98002    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2068527155
EVERGREEN MARKET - BELLEVUE                  ,426125,6035781200010005,638 116TH AVE NE              ,                         ,BELLEVUE                ,WA,KING,980045216,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2068527155
EVERGREEN MARKET - IKEA DISTRICT             ,420338,6040059320010001,401 RAINIER AVE N STE 1       ,                         ,RENTON                  ,WA,KING,980575319,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4257652935
EVERGREEN MARKET - KIRKLAND                  ,357129,6035653130010003,11438 NE 124TH ST             ,                         ,KIRKLAND                ,WA,KING,98034    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),4257652935
EVERGREEN MARKET - KIRKLAND                  ,414475,6035653130010002,8734 120TH AVE NE             ,                         ,KIRKLAND                ,WA,KING,980335861,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4253188898
EVERGREEN MARKET - NORTH RENTON              ,413791,6033501150010001,409 RAINIER AVE N             ,                         ,RENTON                  ,WA,KING,980575319,CANNABIS RETAILER                  ,ACTIVE (ISSUED),4253188898
EVERGREEN MARKET - RENTON HIGHLANDS          ,414841,6053250860010001,4033 NE SUNSET BLVD UNIT 5    ,                         ,RENTON                  ,WA,KING,98056    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),4258293105
EVERGREEN MARKET - SOUTH RENTON              ,424747,6040059320010003,4242 E VALLEY RD              ,                         ,RENTON                  ,WA,KING,98057    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),4253188898
EVERGREEN MEADOWS,425605,6032170680010009,208 E PINE ST,,SHELTON,WA,MASON,985841418,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4258294959
EVERGREEN MEADOWS,425605,6043420130010001,208 E PINE ST,,SHELTON,WA,MASON,985841418,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4258294959
EVERGREEN STATE ENTERPRISES,422825,6036041830010001,847 E SR 4,,CATHLAMET,WA,WAHKIAKUM,98612,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3604702621
EVERGREEN STATE ENTERPRISES                  ,422825,6036041830010001,847 E SR 4                    ,                         ,CATHLAMET               ,WA,WAHKIAKUM,986120000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5033170557
EVERGREEN STATE ENTERPRISES                  ,427156,6036041830010003,3772 SR 4 STE A               ,                         ,GRAYS RIVER             ,WA,WAHKIAKUM,986210000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5033170557
EVERGREEN STATE ENTERPRISES LLC,421878,6036041830010002,3941 COLVILLE RD,,LOON LAKE,WA,STEVENS,991480000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3604702621
EXPONENTIAL 3                                ,422001,6035781200010002,12802 BEL-RED RD STE B        ,                         ,BELLEVUE                ,WA,KING,980052603,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2068527155
EXPONENTIAL 3                                ,426448,6035781200010004,RETAIL TITLE CERTIFICATE      ,                         ,BELLEVUE                ,WA,KING,980043800,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2068527155
EXPONENTIAL 3                                ,426448,6035781200010004,RETAIL TITLE CERTIFICATE      ,                         ,BELLEVUE                ,WA,KING,980043800,RETAIL CERTIFICATE HOLDER          ,FORMER TITLE CERTIFICATE,2068527155
FILLABONG                                    ,079720,6035601210010004,3249 PERRY AVE STE B          ,                         ,BREMERTON               ,WA,KITSAP,98310    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3604432293
FILLABONG,415210,6035601210010003,4978 SE MILE HILL DR,,PORT ORCHARD,WA,KITSAP,983662102,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3604432293
FILLABONG                                    ,415211,6035601210010002,2839 NW KITSAP PL STE A       ,                         ,SILVERDALE              ,WA,KITSAP,98383    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3604432293
FIRE CANNABIS CO                             ,421738,6033479550010002,903 ENGH RD SUITE D           ,                         ,OMAK                    ,WA,OKANOGAN,98841    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),7202719997
FIRE CANNABIS CO -                           ,436929,6048319130010002,1401 S 1ST ST STE 102         ,                         ,YAKIMA                  ,WA,YAKIMA,98901    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),5093676043
"FIRE CANNABIS CO-YAKIMA, L.L.C.              ",415303,6048319130010001,1503 A E NOB HILL BLVD        ,                         ,YAKIMA                  ,WA,YAKIMA,989010000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5093701016
FIVE POINTS OF PIERCE COUNTY LLC             ,422566,6034477130010003,2510 SANDRA AVE               ,                         ,CENTRALIA               ,WA,LEWIS,985319649,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2538644924
FIVE POINTS OF PIERCE COUNTY LLC             ,424498,6034477130010004,RETAIL TITLE CERTIFICATE      ,                         ,CHEHALIS                ,WA,LEWIS,985328717,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2532731260
FIVE POINTS OF PIERCE COUNTY LLC             ,424498,6034477130010004,RETAIL TITLE CERTIFICATE      ,                         ,CHEHALIS                ,WA,LEWIS,985328717,RETAIL CERTIFICATE HOLDER          ,FORMER TITLE CERTIFICATE,2532731260
FIVE STAR TRADING COMPANY                    ,413743,6033437360010002,9920 STATE AVE                ,SUITE B                  ,MARYSVILLE              ,WA,SNOHOMISH,982712255,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4258706335
FLORAL FANATIX LLC,422059,6035815060010001,7226 MARTIN WAY E,,OLYMPIA,WA,THURSTON,985165533,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3608904918
FLORAL FANATIX LLC,422059,6035815060010001,7226 MARTIN WAY E,,OLYMPIA,WA,THURSTON,985165533,RETAIL CERTIFICATE HOLDER          ,FORMER TITLE CERTIFICATE,3608904918
FLORAL FANATIX LLC                           ,422059,6035815060010001,RETAIL TITLE CERTIFICATE      ,                         ,OCEAN SHORES            ,WA,GRAYS HARBOR,985690000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3608904918
FLORAL FANATIX LLC                           ,422059,6035815060010001,RETAIL TITLE CERTIFICATE      ,                         ,OCEAN SHORES            ,WA,GRAYS HARBOR,985690000,RETAIL CERTIFICATE HOLDER          ,FORMER TITLE CERTIFICATE,3608904918
FLOWER AND WEED,420477,6044618980010001,7217 212TH ST SW,,EDMONDS,WA,SNOHOMISH,980267735,CANNABIS RETAILER                  ,CLOSED (PERMANENT),9162247020
FLOYD'S                                      ,420478,6043887510010001,933 E JOHNS PRAIRIE RD        ,                         ,SHELTON                 ,WA,MASON,985841270,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2067710350
FLOYD'S CANNABIS CO.                         ,414223,6042674710010001,1403 E 1ST STREET             ,                         ,PORT ANGELES            ,WA,CLALLAM,98362    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2068530645
FLOYD'S CANNABIS COMPANY                     ,422055,6035808890010002,5952 AIRPORT RD               ,                         ,PULLMAN                 ,WA,WHITMAN,99163    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),5098723080
FLOYDS                                       ,414680,6053371140010001,4218 RUCKER AVE               ,                         ,EVERETT                 ,WA,SNOHOMISH,98203    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2065471914
FLOYDS                                       ,422049,6035710750010001,410 W STATE ST                ,                         ,SEDRO WOOLLEY           ,WA,SKAGIT,982841557,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3605884473
FLOYDS,430798,6043887510010003,931 E JOHNS PRAIRIE RD,,SHELTON,WA,MASON,985841270,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2067710350
FORBIDDEN CANNABIS CLUB                      ,414803,6036041410010001,2358 ELMWAY                   ,                         ,OKANOGAN                ,WA,OKANOGAN,988400000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2532241442
FORBIDDEN CANNABIS CLUB                      ,420520,6034232020010002,22308 HWY 410 E UNIT B        ,                         ,BONNEY LAKE             ,WA,PIERCE,983914073,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2532241442
FORBIDDEN CANNABIS CLUB                      ,421015,6036035380010001,2358 ELMWAY UNIT B            ,                         ,OKANOGAN                ,WA,OKANOGAN,988409790,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2539876637
FORBIDDEN CANNABIS CLUB                      ,422785,6036035410010001,1171 WIND RIVER HIGHWAY       ,SUITE A                  ,CARSON                  ,WA,SKAMANIA,98610    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2532241442
FORBIDDEN CANNABIS CLUB                      ,426808,6034232020010003,RETAIL TITLE CERTIFICATE      ,                         ,BONNEY LAKE             ,WA,PIERCE,983910000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2532241442
FORBIDDEN CANNABIS CLUB                      ,426808,6034232020010003,RETAIL TITLE CERTIFICATE      ,                         ,BONNEY LAKE             ,WA,PIERCE,983910000,RETAIL CERTIFICATE HOLDER          ,FORMER TITLE CERTIFICATE,2532241442
