License_Holder,Dispensary_Name,Street,City,State,ZIP,Phone,License_Issue_Date,Credential_Number,License_Section
"TATICH 3, LLC",Village Dispensary - Godfrey,110 Homer M Adams Pkwy,Alton,IL,62002,(618) 208-7833,,284.000234-AUDO,Active Adult Use
"Emerald Coast, LLC",Emerald - Island Lake,660 E State Rd,Island Lake,IL,60042,(224) 588-3838,,284.000256-AUDO,Active Adult Use
Herban Quality Control,Shangri La Dispensary,3128 S Dirksen Pkwy,Springfield,IL,62703,(217) 679-1568,,284.000220-AUDO,Active Adult Use
"HIGH HAVEN DISPENSARY, LLC",HIGH HAVEN DISPENSARY,106 Mall Dr,Normal,IL,61761,(309) 585-2500,,284.000332-AUDO,Active Adult Use
"PROJECT EQUITY ILLINOIS, INC.",Cookies - Pontoon Beach,"5111 State Route 111, 6723",Pontoon Beach,IL,62040,(618) 477-1828,,284.000320-AUDO,Active Adult Use
"Exxotic Strains, LLC",Aroma Hill - Peoria,1210 W Glen Ave,Peoria,IL,61614,(309) 839-4080,,284.000265-AUDO,Active Adult Use
"GRD Illinois, LLC",Green Releaf - Villa Park,305 W North Ave,Villa Park,IL,60181,(331) 225-0986,,284.000148-AUDO,Active Adult Use
"Lighthouse Dispensing Company, LLC",Herb Social,"616 12th St, 2318",Lawrenceville,IL,62439,(773) 360-3545,,284.000172-AUDO,Active Adult Use
KAP-JG LLC,NuEra - East Dubuque,"20170 US Highway 20 W, 9473",East Dubuque,IL,61025,(815)-888-7220,,284.000211-AUDO,Active Adult Use
"EUPHORIA, LLC",Mission - Norridge,4113 N Harlem Ave,Norridge,IL,60706,(773)-530-0088,,284.000147-AUDO,Active Adult Use
Perception Cannabis Chicago South LLC,Perception Cannabis,7000 N Clark St,Chicago,IL,60626,(872) 302-4920,,284.000297-AUDO,Active Adult Use
ILLINOIS CANNABIS COMPANY LLC,Bud and Rita's - Niles,5960 W Touhy Ave,Niles,IL,60714,(773) 207-7939,,284.000280-AUDO,Active Adult Use
"SEquity Venture, LLC",The Dispensary Champaign,1826 Glenn Park Dr,Champaign,IL,61821,(815) 208-7701,,284.000216-AUDO,Active Adult Use
"LAND OF LINCOLN DISPENSARY, LLC",Bloom Wellness – Hometown,4140 Southwest Hwy,Hometown,IL,60456,(708) 549-0420,,284.000363-AUDO,Active Adult Use
"Vill-Ops, Inc",Village Bucktown,1850 W Webster Ave,Chicago,IL,60614,(312) 598-0022,,284.000208-AUDO,Active Adult Use
Blounts&Moore LLC,Market 96 - S Wells Street,529 S Wells St Ste 100,Chicago,IL,60607,(312) 218-0191,,284.000237-AUDO,Active Adult Use
"Indus365 Olivebranch, LLC",Mystic Greenz - Olive Branch,26650 IL State Route 3,Olive Branch,IL,62969,(618) 776-7130,,284.000354-AUDO,Active Adult Use
"Altius CS Management, LLC",Altius Dispensary - Carol Stream,"506 S Schmale Rd, 2419",Carol Stream,IL,60188,(815) 347-3150,,284.000274-AUDO,Active Adult Use
"CLOUD 9 OSWEGO, LLC",Cloud 9 - Oswego,2420 US Highway 30,Oswego,IL,60543,(630) 451-8060,,284.000292-AUDO,Active Adult Use
"LAND OF LINCOLN DISPENSARY, LLC",Bloom Wellness – Normal,1730 Bradford Ln Ste 185,Normal,IL,61761,(309) 571-1420,,284.000364-AUDO,Active Adult Use
"Revolution Dispensary Normal, LLC",Revolution Dispensary - Normal,"1609 Northbrook Dr, (309)260-2609",Normal,IL,61761,,,284.000221-AUDO,Active Adult Use
"TC Investment Fox Lake, LLC",Smokehouse Fox Lake,44 S US Highway 12,Fox Lake,IL,60020,(224) 331-0848,,284.000347-AUDO,Active Adult Use
"Subsero Rock Island Ops, LLC",Terrace Cannabis - Milan,800 Tech Dr,Milan,IL,61264,(309) 907-0420,,284.000176-AUDO,Active Adult Use
Holistic Illinois LLC,High Profile - Martinsville,3001 N York St,Martinsville,IL,62442,(217) 336-2756,,284.000305-AUDO,Active Adult Use
Santiago Ventures,Green Rose - Harwood Heights,"4660 N Harlem Ave, Harwood Heights, IL, 60706-4714",,,,(708) 716-8200,,284.000348-AUDO,Active Adult Use
"127 IL, LLC",High Profile - Metropolis,1801 E 5th St,Metropolis,IL,62960,(618) 940-1900,,284.000314-AUDO,Active Adult Use
"Botavi Wellness, LLC",Nirvana Dispensary – Lake Zurich,676 S Rand Rd,Lake Zurich,IL,60047,(847) 463-3157,,284.000251-AUDO,Active Adult Use
"Green and Williams, LLC",Parkway – Forest Park,7432 Madison St.,Forest Park,IL,60130,(708) 294-2111,,284.000150-AUDO,Active Adult Use
"Blue Leaf, LLC",Hi Five - Crestwood,13352 Cicero Ave,Crestwood,IL,60418,(708) 274-2365,,284.000290-AUDO,Active Adult Use
"Mint IL, LLC",Mint - Willowbrook,"900 75th St, 7577",Willowbrook,IL,60527,,,284.000156-AUDO,Active Adult Use
"HIGHLIFE GROUP, LLC",Mood Shine – Chicago Heights,"628 W Lincoln Hwy, 2305",Chicago Heights,IL,60411,(708)-833-8474,,284.000333-AUDO,Active Adult Use
"High Haven Dispensary, LLC",High Haven – Elgin,15 Clock Tower Plz,Elgin,IL,60120,(224) 238-3328,,284.000329-AUDO,Active Adult Use
"Family Trees, LLC",Redemption Botanicals - Fox Lake,"107 Towne Centre Ln # 31, Lakeland Shopping Center",Fox Lake,IL,60020,(847) 888-8300,,284.000269-AUDO,Active Adult Use
"Green and Alamo, LLC",Goodies - Streamwood,"1594 Buttitta Dr, 2295",Streamwood,IL,60107,(630) 313-4316,10/01/2024,284.000270-AUDO,Active Adult Use
Green Star Equity LLC,BLOC Dispensary Kedzie,3545 N Kedzie Ave,Chicago,IL,60618,(773) 295-8621,10/09/2024,284.000278-AUDO,Active Adult Use
SO BAKED TOO LLC,Terrabis,16020 S Route 59,Plainfield,IL,60586,(815) 846-5055,10/18/2024,284.000286-AUDO,Active Adult Use
Indus365 Belleville LLC,Mystic Greenz - Belleville,360 S Green Mount Rd,Belleville,IL,62221,(618) 825-9280,10/22/2024,284.000330-AUDO,Active Adult Use
KAP-JG LLC,nuEra - Dekalb,818 W Lincoln Hwy Ste 7,Dekalb,IL,60115,(779) 270-2053,11/01/2024,284.000201-AUDO,Active Adult Use
Renu LLC,Bloc Dispensary Northfield,161 Waukegan Rd,Northfield,IL,60093,(847) 637-8400,11/01/2024,284.000324-AUDO,Active Adult Use
"Elevated Institute, LLC",Ash & Ivy - Benton,9 N Rend Lake Plz,Benton,IL,62812,(618) 663-3085,11/01/2024,284.000349-AUDO,Active Adult Use
"Northern Cardinal Ventures, LLC",Beyond/Hello - Peoria,"7620 N IL Rt 91, Suite A",Peoria,IL,61615,(309)-413-0058,11/04/2024,284.000233-AUDO,Active Adult Use
ALTIUS CS LLC,Altius Dispensary - Orland Hills,9101 159th St,Orland Hills,IL,60487,(464)-888-6249,11/04/2024,284.000275-AUDO,Active Adult Use
KWB ONE LLC,NOBO,27500 IL 120,Lakemoor,IL,60051,(312) 890-3392,11/22/2024,284.000282-AUDO,Active Adult Use
JG IL LLC,Bloc Dispensary Metropolis,2125 E 5th St,Metropolis,IL,62960,(618) 327-0122,11/22/2024,284.000340-AUDO,Active Adult Use
Highly Recommend LLC,Terrabis - Dixon,1679 S Galena Ave,Dixon,IL,61021,(815) 846-6366,12/12/2024,284.000351-AUDO,Active Adult Use
"WAH GROUP, LLC",Cloudhaven - South Beloit,1322 Gardner St,South Beloit,IL,61080,(779)-475-0059,,284.000166-AUDO,Active Adult Use
"Reece Ventures, LLC",Prairie Cannabis - Naperville,4S120 N Route 59,Warrenville,IL,60563,(331) 249-6532,,284.000350-AUDO,Active Adult Use
"Green and Randle, LLC",Bud and Rita's - Wadsworth,41509 N US Highway 41,Wadsworth,IL,60083,(313) 367-0156,,284.000277-AUDO,Active Adult Use
"UHCC, Inc.",Bridge City Collective – East Dubuque,"122 Sinsinawa Ave, 1219",East Dubuque,IL,61025,(563) 207-4123,,284.000307-AUDO,Active Adult Use
SB IL 3 WESTMONT LLC,Starbuds – WM,101 W Ogden Ave,Westmont,IL,60559,(331) 233-6361,,284.000164-AUDO,Active Adult Use
Flower Points LLC,Terrabis - Woodstock,601 S Eastwood Dr,Woodstock,IL,60098,(815) 846-2084,,284.000315-AUDO,Active Adult Use
AmeriCanna Dream LLC,Ivy Hall - Edwardsville,"6197 Old Alton, Edwardsville Rd",Edwardsville,IL,62025,(618) 655-1960,,284.000302-AUDO,Active Adult Use
NMG 1 LLC,Dutchess Cannabis - Lynwood,20513 Torrence Ave,Lynwood,IL,60411,(708) 400-1818,,284.000158-AUDO,Active Adult Use
"High Hopes, LLC",Prairie Cannabis – South Loop,622 W Roosevelt Rd,Chicago,IL,60607,(312) 763-6052,,284.000293-AUDO,Active Adult Use
InLabs 1 LLC,Dutchess Cannabis N. Riverside,"8380 W Cermak Rd, 1425",North Riverside,IL,60546,(708) 323-1799,,284.000334-AUDO,Active Adult Use
"Botavi Wellness, LLC",Nirvana Dispensary – Mt. Carmel,"825 Chestnut St, 1456",Mount Carmel,IL,62863,(618) 353-1056,,284.000255-AUDO,Active Adult Use
"Botavi Wellness, LLC",Nirvana Dispensary – Chicago,2301 W Lawrence Ave,Chicago,IL,60625,(872) 314-1315,,284.000252-AUDO,Active Adult Use
"Latino Veterans Health and Revival, LLC",Cookies – Bolingbrook,190 S Weber Rd,Bolingbrook,IL,60490,(331) 444-1414,,284.000284-AUDO,Active Adult Use
"Ocean Capital IL, Inc.",Tree Haus – Morris,50 Gore Rd,Morris,IL,60450,(815) 513-3194,,284.000160-AUDO,Active Adult Use
"TC Applico, LLC",Bloc - Forest Park,7216 Circle Ave,Forest Park,IL,60130,,,284.000299-AUDO,Active Adult Use
MariGrow Inc.,UMI – Chicago,2575 N Lincoln Ave,Chicago,IL,60614,(773) 770-3531,,284.000155-AUDO,Active Adult Use
"NIRVANA CENTER ILLINOIS, LLC",True Essence – Arlington Heights,"792 E Rand Rd, Arlington Heights, IL, 60004-4006",,,,(847) 909-7557,,284.000204-AUDO,Active Adult Use
JG IL LLC,Bloc Dispensary – Berwyn,7122 Ogden Ave,Berwyn,IL,60402,(708) 323-2973,,284.000343-AUDO,Active Adult Use
"Ellana, LLC",Dr Greenthumb's Chicago,2200 N Ashland Ave,Chicago,IL,60614,(872) 252-7799,,284.000186-AUDO,Active Adult Use
"People Dispensary, LLC",Vertical People Dispensary,300 Washington Ave,Cairo,IL,62914,(618) 805-5111,,284.000355-AUDO,Active Adult Use
"FORSYTH RETAIL OPERATIONS, LLC",Bud and Rita's - Forsyth,1401 Hickory Point Dr,Forsyth,IL,62535,(217) 759-1704,,284.000218-AUDO,Active Adult Use
"24TH REGIMENT - LATINO VETERANS' UNIT, LLC",Hi-Rise Dispensary,1795 N Barrington Road,Hoffman Estates,IL,60194,(847)-648-7069,10/15/2025,284.000185-AUDO,Active Adult Use
G P Green House LLC,Guaranteed Dispensary,620 N Fairbanks Ct,Chicago,IL,60611,(312)-599-0033,,284.000191-AUDO,Active Adult Use
KAP-JG LLC,nuEra Chicago Southland,16950 Halsted St,Harvey,IL,60426,(708) 566-5218,11/20/2025,284.000202-AUDO,Active Adult Use
"High Haven Dispensary, LLC",The Carbondale Dispensary,613 E Main St,Carbondale,IL,62901,(618)-552-0420,12/15/2025,284.000331-AUDO,Active Adult Use
Puffin Paradise LLC,Cloud 9 Cannabis - Schaumburg,1823 W Wise Rd,Schaumburg,IL,60193,(630)-450-0150,12/16/2025,284.000356-AUDO,Active Adult Use
"TC Applico, LLC",Bloc Dispensary - Mattoon,511 Lake Land Blvd,Mattoon,IL,61938,,12/18/2025,284.000306-AUDO,Active Adult Use
"Pure Zen, LLC",Starbuds - Summitt,5436 S Harlem Ave,Summit,IL,60501,(708)-701-2122,12/18/2025,284.000358-AUDO,Active Adult Use
ReNu LLC,Bloc Dispensary - Antioch,417 E Il Route 173 Unit 106,Antioch,IL,60002,,12/19/2025,284.000338-AUDO,Active Adult Use
"Illinois Health & Wellness, LLC",Supergood Store,660 N Wolf Rd,Des Plaines,IL,60016,(249)-319-0420,12/26/2025,284.000196-AUDO,Active Adult Use
"Ocean Capital IL, Inc.",Tree Haus - Diamond,2910 E Division St,Diamond,IL,60416,,,284.000161-AUDO,Active Adult Use
KAP-JG LLC,Aces Dispensary - Plainfield,12627 S Route 59,Plainfield,IL,60585,(779)-252-1824,,284.000198-AUDO,Active Adult Use
"HAAAY, LLC",Terrabis - Mundelein,3210 W Il Route 60,Mundelein,IL,60060,(847)-581-8181,,284.000153-AUDO,Active Adult Use
WUNDERLAND DISPENSARIES LLC,Lakeshore Cannabis Club,1335 Lakeside Dr Unit 4,Romeoville,IL,60446,(630)-755-4176,,284.000367-AUDO,Active Adult Use
"Kechwa, LLC",Cannabis Outlet by Consume,5N105 Route 53,Itasca,IL,60143,(630)-425-6500,,284.000203-AUDO,Active Adult Use
Blounts&Moore LLC,Market 96 - Belleville,7300 Twin Pyramid Pkwy,Belleville,IL,62223,(618)-206-1305,,284.000241-AUDO,Active Adult Use
Greenhouse Gratitude SE LLC,Dutchess Cannabis - Batavia,144 S Randall Rd,Batavia,IL,60510,(617) 453-4042,,284.000359-AUDO,Active Adult Use
Hyghroad LLC,Cannect Dispensary,"3147 Mannheim Rd, 2303",Franklin Park,IL,60131,(630)-359-8255,,284.000370-AUDO,Active Adult Use
"Glacier Dispensary, LLC",Bisa Lina - Joliet,2121 W Jefferson St,Joliet,IL,60435,(630)-332-9436,,284.000366-AUDO,Active Adult Use
"ILLINOIS HEALTH & WELLNESS, LLC",284.000221-CL,7/22/2022,,,,,,284.000221-CL,Active Adult Use
"PROJECT EQUITY ILLINOIS, INC.",284.000321-CL,8/12/2022,,,,,,284.000321-CL,Active Adult Use
"LAND OF LINCOLN DISPENSARY, LLC",284.000325-CL,08/19/2022,,,,,08/19/2022,284.000325-CL,Active Adult Use
"HIGH HAVEN DISPENSARY, LLC",284.000332-CL,09/20/2022,,,,,09/20/2022,284.000332-CL,Active Adult Use
BLOUNTS&MOORE,284.000236-CL,7/22/2022,,,,,,284.000236-CL,Active Adult Use
"DO MOR DEVELOPMENT, LLC",284.000214-CL,7/22/2022,,,,,,284.000214-CL,Active Adult Use
"TRU ESSENCE GROUP, LLC",284.000322-CL,8/12/2022,,,,,,284.000322-CL,Active Adult Use
IL-LUSTRIOUS VETERANS' UNIT II LLC,284.000215-CL,7/22/2022,,,,,,284.000215-CL,Active Adult Use
"SOCIAL EQUITY INVESTMENTS, L.L.C.",284.000228-CL,7/22/2022,,,,,,284.000228-CL,Active Adult Use
TOFINO SHORELINE PARTNERS LLC,284.000264-CL,7/22/2022,,,,,,284.000264-CL,Active Adult Use
"HIGH HAVEN DISPENSARY, LLC",284.000331-CL,09/20/2022,,,,,09/20/2022,284.000331-CL,Active Adult Use
FORTUNATE SON PARTNERS LLC,284.000259-CL,7/22/2022,,,,,,284.000259-CL,Active Adult Use
"SEQUITY VENTURES, LLC",284.000216-CL,7/22/2022,,,,,,284.000216-CL,Active Adult Use
"DSG OPCO IL, LLC",284.000310-CL,7/29/2022,,,,,,284.000310-CL,Active Adult Use
24TH REGIMENT - LATINO VETERANS' UNIT LLC,284.000185-CL,7/22/2022,,,,,,284.000185-CL,Active Adult Use
"BIO-PHARM, LLC",284.000266-CL,7/22/2022,,,,,,284.000266-CL,Active Adult Use
BLOUNTS&MOORE,284.000237-CL,7/22/2022,,,,,,284.000237-CL,Active Adult Use
BLOUNTS&MOORE,284.000238-CL,7/22/2022,,,,,,284.000238-CL,Active Adult Use
BLOUNTS&MOORE,284.000239-CL,7/22/2022,,,,,,284.000239-CL,Active Adult Use
BLOUNTS&MOORE,284.000240-CL,7/22/2022,,,,,,284.000240-CL,Active Adult Use
BOTAVI WELLNESS LLC,284.000250-CL,7/22/2022,,,,,,284.000250-CL,Active Adult Use
BOTAVI WELLNESS LLC,284.000251-CL,7/22/2022,,,,,,284.000251-CL,Active Adult Use
BOTAVI WELLNESS LLC,284.000252-CL,7/22/2022,,,,,,284.000252-CL,Active Adult Use
BOTAVI WELLNESS LLC,284.000253-CL,7/22/2022,,,,,,284.000253-CL,Active Adult Use
"CANNA VENTURES, LLC",284.000267-CL,7/22/2022,,,,,,284.000267-CL,Active Adult Use
CANNA VERDE LLC,284.000141-CL,7/22/2022,,,,,,284.000141-CL,Active Adult Use
"CESAM, LLC",284.000142-CL,7/22/2022,,,,,,284.000142-CL,Active Adult Use
"CESAM, LLC",284.000143-CL,7/22/2022,,,,,,284.000143-CL,Active Adult Use
"EARTHMED, LLC",284.000144-CL,7/22/2022,,,,,,284.000144-CL,Active Adult Use
"EARTH'S DESIGNRECREATIONAL DISPENSARY, LLC",284.000268-CL,7/22/2022,,,,,,284.000268-CL,Active Adult Use
EEL - ILLINOIS LLC,284.000145-CL,7/22/2022,,,,,,284.000145-CL,Active Adult Use
EEL - ILLINOIS LLC,284.000146-CL,7/22/2022,,,,,,284.000146-CL,Active Adult Use
"ELLANA, LLC",284.000186-CL,7/22/2022,,,,,,284.000186-CL,Active Adult Use
"EMERALD COAST, LLC",284.000256-CL,7/22/2022,,,,,,284.000256-CL,Active Adult Use
"EMERALD COAST, LLC",284.000257-CL,7/22/2022,,,,,,284.000257-CL,Active Adult Use
"EUPHORIA, LLC",284.000147-CL,7/22/2022,,,,,,284.000147-CL,Active Adult Use
"FAMILY ROOTS, LLC",284.000187-CL,7/22/2022,,,,,,284.000187-CL,Active Adult Use
"FAMILY ROOTS, LLC",284.000188-CL,7/22/2022,,,,,,284.000188-CL,Active Adult Use
"FAMILY ROOTS, LLC",284.000189-CL,7/22/2022,,,,,,284.000189-CL,Active Adult Use
FAMILY TREES LLC,284.000269-CL,7/22/2022,,,,,,284.000269-CL,Active Adult Use
"FLY SOCIETY GROUP OF AURORA, LLC",284.000190-CL,7/22/2022,,,,,,284.000190-CL,Active Adult Use
G P GREEN HOUSE LLC,284.000191-CL,7/22/2022,,,,,,284.000191-CL,Active Adult Use
GRD ILLINOIS LLC,284.000148-CL,7/22/2022,,,,,,284.000148-CL,Active Adult Use
"GREEN & ALAMO, LLC",284.000270-CL,7/22/2022,,,,,,284.000270-CL,Active Adult Use
"GREEN & BRANSFORD, LLC",284.000271-CL,7/22/2022,,,,,,284.000271-CL,Active Adult Use
"GREEN & BRANSFORD, LLC",284.000272-CL,7/22/2022,,,,,,284.000272-CL,Active Adult Use
"GREEN & BRANSFORD, LLC",284.000273-CL,7/22/2022,,,,,,284.000273-CL,Active Adult Use
"GREEN & BRANSFORD, LLC",284.000274-CL,7/22/2022,,,,,,284.000274-CL,Active Adult Use
"GREEN & BRANSFORD, LLC",284.000275-CL,7/22/2022,,,,,,284.000275-CL,Active Adult Use
"GREEN & BRADLEY, LLC",284.000260-CL,7/22/2022,,,,,,284.000260-CL,Active Adult Use
"GREEN & BRADLEY, LLC",284.000261-CL,7/22/2022,,,,,,284.000261-CL,Active Adult Use
"GREEN & BRADLEY, LLC",284.000262-CL,7/22/2022,,,,,,284.000262-CL,Active Adult Use
"GREEN & CAMPBELL, LLC",284.000149-CL,7/22/2022,,,,,,284.000149-CL,Active Adult Use
"GREEN & FOSTER, LLC",284.000192-CL,7/22/2022,,,,,,284.000192-CL,Active Adult Use
"GREEN & FOSTER, LLC",284.000193-CL,7/22/2022,,,,,,284.000193-CL,Active Adult Use
"GREEN & FOSTER, LLC",284.000194-CL,7/22/2022,,,,,,284.000194-CL,Active Adult Use
"GREEN & RANDLE, LLC",284.000276-CL,7/22/2022,,,,,,284.000276-CL,Active Adult Use
"GREEN & RANDLE, LLC",284.000277-CL,7/22/2022,,,,,,284.000277-CL,Active Adult Use
"GREEN & WILLIAMS, LLC",284.000150-CL,7/22/2022,,,,,,284.000150-CL,Active Adult Use
"GREEN & WILLIAMS, LLC",284.000151-CL,7/22/2022,,,,,,284.000151-CL,Active Adult Use
GREEN STAR,284.000278-CL,7/22/2022,,,,,,284.000278-CL,Active Adult Use
GREEN THERAPY LLC,284.000232-CL,7/22/2022,,,,,,284.000232-CL,Active Adult Use
"GREENLEAF INVESTMENT OPERATIONS, LLC",284.000195-CL,7/22/2022,,,,,,284.000195-CL,Active Adult Use
"GRI HOLDINGS, LLC",284.000248-CL,7/22/2022,,,,,,284.000248-CL,Active Adult Use
"GRI HOLDINGS, LLC",284.000249-CL,7/22/2022,,,,,,284.000249-CL,Active Adult Use
"GWB ILLINOIS, LLC (DBA GREENWELL)",284.000152-CL,7/22/2022,,,,,,284.000152-CL,Active Adult Use
"HAAAYY, LLC",284.000153-CL,7/22/2022,,,,,,284.000153-CL,Active Adult Use
"HOLY VANA, LLC",284.000279-CL,7/22/2022,,,,,,284.000279-CL,Active Adult Use
"ILLINOIS CANNABIS COMPANY, LLC",284.000280-CL,7/22/2022,,,,,,284.000280-CL,Active Adult Use
"ILLINOIS HEALTH & WELLNESS, LLC",284.000196-CL,7/22/2022,,,,,,284.000196-CL,Active Adult Use
"ILLINOIS WORKS, LLC",284.000154-CL,7/22/2022,,,,,,284.000154-CL,Active Adult Use
INLABS I LLC,284.000197-CL,7/22/2022,,,,,,284.000197-CL,Active Adult Use
"ISLAND THYME, LLC.",284.000245-CL,7/22/2022,,,,,,284.000245-CL,Active Adult Use
"ISLAND THYME, LLC.",284.000246-CL,7/22/2022,,,,,,284.000246-CL,Active Adult Use
KANA GROVE NORTH LLC,284.000281-CL,7/22/2022,,,,,,284.000281-CL,Active Adult Use
KAP-JG LLC,284.000198-CL,7/22/2022,,,,,,284.000198-CL,Active Adult Use
KAP-JG LLC,284.000199-CL,7/22/2022,,,,,,284.000199-CL,Active Adult Use
KAP-JG LLC,284.000200-CL,7/22/2022,,,,,,284.000200-CL,Active Adult Use
KAP-JG LLC,284.000201-CL,7/22/2022,,,,,,284.000201-CL,Active Adult Use
KAP-JG LLC,284.000202-CL,7/22/2022,,,,,,284.000202-CL,Active Adult Use
"KECHWA, LLC",284.000203-CL,7/22/2022,,,,,,284.000203-CL,Active Adult Use
KWB ONE LLC,284.000282-CL,7/22/2022,,,,,,284.000282-CL,Active Adult Use
KWB ONE LLC,284.000283-CL,7/22/2022,,,,,,284.000283-CL,Active Adult Use
"KXD PARTNERS, LLC",284.000263-CL,7/22/2022,,,,,,284.000263-CL,Active Adult Use
LATINO VETERANS HEALTH AND REVIVAL LLC,284.000284-CL,7/22/2022,,,,,,284.000284-CL,Active Adult Use
MARIGROW INC.,284.000155-CL,7/22/2022,,,,,,284.000155-CL,Active Adult Use
"MINT IL, LLC",284.000156-CL,7/22/2022,,,,,,284.000156-CL,Active Adult Use
MINT VENTURES LLC,284.000157-CL,7/22/2022,,,,,,284.000157-CL,Active Adult Use
"MORGAN AND HOPE, LLC; DBA 64 & HOPE",284.000243-CL,7/22/2022,,,,,,284.000243-CL,Active Adult Use
"MURRAY FOOD SERVICES, INC.",284.000244-CL,7/22/2022,,,,,,284.000244-CL,Active Adult Use
"NIRVANA CENTER ILLINOIS, LLC",284.000204-CL,7/22/2022,,,,,,284.000204-CL,Active Adult Use
"NMG IL 1, LLC",284.000158-CL,7/22/2022,,,,,,284.000158-CL,Active Adult Use
"NMG IL 4, LLC",284.000159-CL,7/22/2022,,,,,,284.000159-CL,Active Adult Use
"OCEAN CAPITAL IL, INC. D/B/A DR. MOODS CANNABIS COMPANY",284.000160-CL,7/22/2022,,,,,,284.000160-CL,Active Adult Use
"OCEAN CAPITAL IL, INC. D/B/A DR. MOODS CANNABIS COMPANY",284.000161-CL,7/22/2022,,,,,,284.000161-CL,Active Adult Use
"PLANET 13 ILLINOIS, LLC",284.000162-CL,7/22/2022,,,,,,284.000162-CL,Active Adult Use
"RIVER BLUFF CANNABIS, INC.",284.000205-CL,7/22/2022,,,,,,284.000205-CL,Active Adult Use
SB IL LLC D/B/A STARBUDS,284.000285-CL,7/22/2022,,,,,,284.000285-CL,Active Adult Use
SO BAKED TOO LLC,284.000286-CL,7/22/2022,,,,,,284.000286-CL,Active Adult Use
"SUITE GREENS, LLC",284.000206-CL,7/22/2022,,,,,,284.000206-CL,Active Adult Use
"EXXOTIC Strains, LLC.",284.000287-CL,7/22/2022,,,,,,284.000287-CL,Active Adult Use
"THE HOMECOMING GROUP, LLC",284.000235-CL,7/22/2022,,,,,,284.000235-CL,Active Adult Use
"THF ILLINOIS, LLC DBA: GREENLIGHT",284.000288-CL,7/22/2022,,,,,,284.000288-CL,Active Adult Use
TOFINO SHORELINE PARTNERS LLC,284.000289-CL,7/22/2022,,,,,,284.000289-CL,Active Adult Use
"TRIUMPH 7 INVESTMENTS, LLC",284.000222-CL,7/22/2022,,,,,,284.000222-CL,Active Adult Use
"VILLAGE COURT HOLDINGS, LLC",284.000247-CL,7/22/2022,,,,,,284.000247-CL,Active Adult Use
"VILL-OPS, INC (DBA VIOLA)",284.000207-CL,7/22/2022,,,,,,284.000207-CL,Active Adult Use
"VILL-OPS, INC (DBA VIOLA)",284.000208-CL,7/22/2022,,,,,,284.000208-CL,Active Adult Use
"VISE PARTNERS, LLC",284.000163-CL,7/22/2022,,,,,,284.000163-CL,Active Adult Use
"WAH GROUP, LLC D/B/A LEAFING LIFE",284.000164-CL,7/22/2022,,,,,,284.000164-CL,Active Adult Use
WORLD OF WEED,284.000180-CL,7/22/2022,,,,,,284.000180-CL,Active Adult Use
WORLD OF WEED,284.000181-CL,7/22/2022,,,,,,284.000181-CL,Active Adult Use
WORLD OF WEED,284.000182-CL,7/22/2022,,,,,,284.000182-CL,Active Adult Use
WORLD OF WEED,284.000183-CL,7/22/2022,,,,,,284.000183-CL,Active Adult Use
WORLD OF WEED,284.000184-CL,7/22/2022,,,,,,284.000184-CL,Active Adult Use
"AMERICANNA DREAM, LLC",284.000313-CL,7/29/2022,,,,,,284.000313-CL,Active Adult Use
"BLUE LEAF, LLC",284.000290-CL,7/29/2022,,,,,,284.000290-CL,Active Adult Use
"FLOWER POINTS, LLC",284.000315-CL,7/29/2022,,,,,,284.000315-CL,Active Adult Use
"GREEN & KINNICK, LLC",284.000291-CL,7/29/2022,,,,,,284.000291-CL,Active Adult Use
"HEARTLAND LEAF, LLC",284.000292-CL,7/29/2022,,,,,,284.000292-CL,Active Adult Use
"HIGH HOPES CHICAGO, LLC",284.000293-CL,7/29/2022,,,,,,284.000293-CL,Active Adult Use
"ILLINOIS KINDNESS, LLC",284.000294-CL,7/29/2022,,,,,,284.000294-CL,Active Adult Use
"JOINT VENTURES 1, LLC",284.000295-CL,7/29/2022,,,,,,284.000295-CL,Active Adult Use
NIRVANA MANAGEMENT CORPORATION,284.000317-CL,7/29/2022,,,,,,284.000317-CL,Active Adult Use
"NLJ PARTNERS, LLC",284.000296-CL,7/29/2022,,,,,,284.000296-CL,Active Adult Use
"PERCEPTION CANNABIS CHICAGO SOUTH, INC.",284.000297-CL,7/29/2022,,,,,,284.000297-CL,Active Adult Use
"TC APPLICO, LLC",284.000298-CL,7/29/2022,,,,,,284.000298-CL,Active Adult Use
"TC APPLICO, LLC",284.000299-CL,7/29/2022,,,,,,284.000299-CL,Active Adult Use
"VERTICAL MANAGEMENT, LLC",284.000300-CL,7/29/2022,,,,,,284.000300-CL,Active Adult Use
"WESTSIDE VISIONARIES, LLC",284.000301-CL,7/29/2022,,,,,,284.000301-CL,Active Adult Use
"VELTISTE ILLINOIS, LLC",284.000318-CL,8/12/2022,,,,,,284.000318-CL,Active Adult Use
"RENU, LLC",284.000323-CL,8/19/2022,,,,,,284.000323-CL,Active Adult Use
"RENU, LLC",284.000324-CL,8/19/2022,,,,,,284.000324-CL,Active Adult Use
"HIGH HAVEN DISPENSARY, LLC",284.000328-CL,09/20/2022,,,,,09/20/2022,284.000328-CL,Active Adult Use
"HIGH HAVEN DISPENSARY, LLC",284.000329-CL,09/20/2022,,,,,09/20/2022,284.000329-CL,Active Adult Use
