index,name,name_slug,dba,dba_slug,type,url,street_address,city,state,zip_code,country,lat,lng,phone,email,license_usda,license_state,license_other,delivery,sells_seeds,duplicate
US-0000626,"ALTERNATIVES, A HEALTH COLLECTIVE",alternatives-a-health-collective,"ALTERNATIVES, A HEALTH COLLECTIVE",alternatives-a-health-collective,dispensary,,1603 Hampton Way,Santa Rosa,CA,95407,US,38.42820076,-122.7383473,(415) 250-8888,Mskslr@comcast.Net,,C10-0000010-LIC,FALSE,FALSE,FALSE,TRUE
US-0000627,ALTHEA'S HOUSE INC,altheas-house-inc,MAIKOH HOLISTICS - DENVER,maikoh-holistics-denver,dispensary,,260 North Broadway,Denver,CO,80203,US,39.72031975,-104.9873947,,,,402R-00340,FALSE,FALSE,FALSE,TRUE
US-0000628,ALTITUDE,altitude,ALTITUDE,altitude,dispensary,https://altitudemj.com/menu/,260 MERLOT DR,PROSSER,WA,99350,US,46.2198959,-119.7854261,(509) 786-4200,,,414225,FALSE,FALSE,FALSE,TRUE
US-0000629,Altitude Cannabis Bay City,altitude-cannabis-bay-city,Altitude Cannabis Bay City,altitude-cannabis-bay-city,dispensary,,912 N Euclid AVE,Bay City,MI,48706,US,43.61203264,-83.91465278,,,,AU-R-000974,FALSE,FALSE,FALSE,TRUE
US-0000630,Altitude NY LLC,altitude-ny-llc,Altitude NY LLC,altitude-ny-llc,dispensary,,807 Manhattan Avenue,Brooklyn,NY,11222,US,40.72801,-73.95324,,,,OCM-RETL-24-000121,FALSE,FALSE,FALSE,TRUE
US-0000631,ALTIUS CS LLC,altius-cs-llc,Altius Dispensary - Orland Hills,altius-dispensary-orland-hills,other,,9101 159th St,Orland Hills,IL,60487,US,41.60152319,-87.84050352,(464)-888-6249,,,284.000275-AUDO,FALSE,FALSE,FALSE,TRUE
US-0000632,"Altius CS Management, LLC",altius-cs-management-llc,Altius Dispensary - Carol Stream,altius-dispensary-carol-stream,other,,"506 S Schmale Rd, 2419",Carol Stream,IL,60188,US,41.89189769,-88.10566742,(815) 347-3150,,,284.000274-AUDO,FALSE,FALSE,FALSE,TRUE
US-0000633,Altruism For All,altruism-for-all,Goldy's,goldys,dispensary,,,,CA,,US,,,(530) 906-5313,Joycecraddock@gmail.Com,,C9-0000278-LIC,FALSE,FALSE,FALSE,TRUE
US-0000634,Alvarez Cultivation LLC,alvarez-cultivation-llc,Alvarez Cultivation LLC,alvarez-cultivation-llc,dispensary,,26324 US-12,Edwardsburg,MI,49112,US,41.79961541,-86.07483154,,,,AU-R-000327,FALSE,FALSE,FALSE,TRUE
US-0000635,"Always Proper Distribution, Inc.",always-proper-distribution-inc,Always Proper Distribution Inc,always-proper-distribution-inc,other,,,,CA,,US,,,(707) 630-1142,Properwellnesscenter@gmail.Com,,C11-0001351-LIC,FALSE,FALSE,FALSE,TRUE
US-0000636,ALXV LLC,alxv-llc,ALXV LLC,alxv-llc,cultivator,,,,CA,,US,,,(512) 553-6914,Kozin.Boris@outlook.Com,,CCL22-0001523,FALSE,FALSE,FALSE,TRUE
US-0000637,"Alyeska707, LLC",alyeska707-llc,"Alyeska707, LLC",alyeska707-llc,cultivator,,,,CA,,US,,,(707) 296-4340,Etahumboldtbensen@gmail.Com,,CCL20-0000331,FALSE,FALSE,FALSE,TRUE
US-0000638,"Alyeska707, LLC",alyeska707-llc,"Alyeska707, LLC",alyeska707-llc,cultivator,,,,CA,,US,,,(707) 296-4340,Etahumboldtbensen@gmail.Com,,CCL20-0000438,FALSE,FALSE,FALSE,TRUE
US-0000639,Alyssa M Renko,alyssa-m-renko,Alyssa M Renko,alyssa-m-renko,dispensary,,320 South Transit Rd,South Lockport,NY,14094,US,43.18359,-78.69614,,,,OCM-RETL-24-000052,FALSE,FALSE,FALSE,TRUE
US-0000640,Amacoa Partners LLC,amacoa-partners-llc,Legacy Pharms,legacy-pharms,dispensary,,,,CA,,US,,,(916) 969-7358,Mervyn6229@gmail.Com,,C9-0000823-LIC,FALSE,FALSE,FALSE,TRUE
US-0000641,Amaranth Farms,amaranth-farms,MEDICAL CANNABIS CULTIVATION,medical-cannabis-cultivation,other,,,,CA,,US,,,(707) 986-4002,Amaranthfarms@gmail.Com,,C13-0000017-LIC,FALSE,FALSE,FALSE,TRUE
US-0000642,Amaranth Farms,amaranth-farms,Amaranth Farms,amaranth-farms,cultivator,,,,CA,,US,,,(707) 496-1454,Amaranthfarms@gmail.Com,,CCL18-0000419,FALSE,FALSE,FALSE,TRUE
US-0000643,Amaranth Farms,amaranth-farms,Amaranth Farms,amaranth-farms,cultivator,,,,CA,,US,,,(707) 496-1454,Amaranthfarms@gmail.Com,,CCL18-0000425,FALSE,FALSE,FALSE,TRUE
US-0000644,Amaranth Farms,amaranth-farms,Amaranth Farms,amaranth-farms,cultivator,,,,CA,,US,,,(707) 496-1454,Amaranthfarms@gmail.Com,,CCL18-0003041,FALSE,FALSE,FALSE,TRUE
US-0000645,"AMAZING BUDZ, LLC|Amazing Budz, LLC",amazing-budz-llc,"AMAZING BUDZ, LLC|Amazing Budz, LLC",amazing-budz-llc,dispensary|other,,1301 S Main ST,Adrian,MI,49221,US,41.87982465,-84.04315456,,,,AU-R-000225|PC-000111,FALSE,FALSE,FALSE,TRUE
US-0000646,Amber Jane LLC,amber-jane-llc,Amber Jane,amber-jane,dispensary,amberjane.com,1577 State Route 17B,White Lake,NY,12786,US,41.67384,-74.83694,,,,OCM-RETL-24-000049,FALSE,FALSE,FALSE,TRUE
US-0000647,AMD Distribution Inc.,amd-distribution-inc,AMD Distribution Inc.,amd-distribution-inc,other,,,,CA,,US,,,(818) 921-0057,Amddistributioninc@gmail.Com,,C11-0002004-LIC,FALSE,FALSE,FALSE,TRUE
US-0000648,AMD Distribution Inc.,amd-distribution-inc,AMD Distribution Inc.,amd-distribution-inc,other,,,,CA,,US,,,(818) 921-0057,Michaltwito@yahoo.Com,,DCC-10004750,FALSE,FALSE,FALSE,TRUE
US-0000649,"Amelia Street Ventures, LLC",amelia-street-ventures-llc,710 Labs,710-labs,other,,,,CA,,US,,,(310) 788-3445,Astockman@710labs.Com,,DCC-10002005,FALSE,FALSE,FALSE,TRUE
US-0000650,"Amelia Street Ventures, LLC",amelia-street-ventures-llc,710 Labs,710-labs,other,,,,CA,,US,,,(310) 788-3445,Astockman@710labs.Com,,DCC-10004705,FALSE,FALSE,FALSE,TRUE
US-0000651,"Amelia Street Ventures, LLC",amelia-street-ventures-llc,"Amelia Street Ventures, LLC",amelia-street-ventures-llc,cultivator,,,,CA,,US,,,(310) 788-3445,Jason@postinvestmentgroup.Com,,CCL18-0000170,FALSE,FALSE,FALSE,TRUE
US-0000652,"Amelia Street Ventures, LLC",amelia-street-ventures-llc,"Amelia Street Ventures, LLC",amelia-street-ventures-llc,cultivator,,,,CA,,US,,,(310) 788-3445,Compliance@710labs.Com,,CCL18-0001680,FALSE,FALSE,FALSE,TRUE
US-0000653,"Amelia Street Ventures, LLC",amelia-street-ventures-llc,"Amelia Street Ventures, LLC",amelia-street-ventures-llc,cultivator,,,,CA,,US,,,(310) 788-3445,Compliance@710labs.Com,,CCL19-0004826,FALSE,FALSE,FALSE,TRUE
US-0000654,AMERICAN APOTHECARY INC,american-apothecary-inc,AMERICAN APOTHECARY INC,american-apothecary-inc,cultivator,,,,CA,,US,,,(661) 618-7436,Edmarkosyan@yahoo.Com,,CCL20-0003185,FALSE,FALSE,FALSE,TRUE
US-0000655,American Buds Corporation,american-buds-corporation,American Buds Corporation,american-buds-corporation,cultivator,,,,CA,,US,,,(909) 556-9667,Americanbuds@aol.Com,,CCL25-0000368,FALSE,FALSE,FALSE,TRUE
US-0000656,American Cannabis Partners LLC,american-cannabis-partners-llc,American Cannabis Partners LLC,american-cannabis-partners-llc,cultivator,,,,CA,,US,,,(925) 360-3055,Imihalev@yahoo.Com,,CCL25-0000505,FALSE,FALSE,FALSE,TRUE
US-0000657,"American Cannabis Partners, LLC",american-cannabis-partners-llc,"American Cannabis Partners, LLC",american-cannabis-partners-llc,cultivator,,,,CA,,US,,,(912) 659-3833,Jordan.Stephen111@gmail.Com,,CCL19-0004730,FALSE,FALSE,FALSE,TRUE
US-0000658,AMERICAN GREEN CAPITAL GROUP,american-green-capital-group,AMERICAN GREEN CAPITAL GROUP,american-green-capital-group,other,,24124 Sunnymead Blvd,Moreno Valley,CA,92553,US,33.939439,-117.241717,(951) 505-4775,Agcgmicro@gmail.Com,,C12-0000543-LIC,FALSE,FALSE,FALSE,TRUE
US-0000659,"American Growers Exchange, LLC",american-growers-exchange-llc,"American Growers Exchange, LLC",american-growers-exchange-llc,cultivator,,,,CA,,US,,,(415) 328-6321,Dona@naturalcannabis.Com,,CCL19-0005573,FALSE,FALSE,FALSE,FALSE
US-0000660,American Grown,american-grown,American Grown,american-grown,dispensary,,2384 Shenfield RD,Turner,MI,48765,US,44.15111824,-83.74714857,,,,AU-R-000768,FALSE,FALSE,FALSE,FALSE
US-0000661,American Grown,american-grown,American Grown,american-grown,dispensary,,1864 US-23,East Tawas,MI,48730,US,44.29369162,-83.44125696,,,,AU-R-001268,FALSE,FALSE,FALSE,FALSE
US-0000662,AMERICAN HARVEST,american-harvest,AMERICAN HARVEST,american-harvest,dispensary,,7550 US HWY 97,PESHASTIN,WA,988470000,US,47.5706779,-120.6039743,5033177035,,,422954,FALSE,FALSE,FALSE,FALSE
US-0000663,American Holdings Inc,american-holdings-inc,Top Shelf Express/Wuhan Lab,top-shelf-expresswuhan-lab,other,,,,CA,,US,,,(650) 430-8738,Olga.Ousherovitch@gmail.Com,,C12-0000401-LIC,FALSE,FALSE,FALSE,TRUE
US-0000664,Americana Organics Inc.,americana-organics-inc,Americana Organics Inc.,americana-organics-inc,cultivator,,,,CA,,US,,,(845) 701-6203,Eduardofernandez3284@gmail.Com,,CCL24-0000847,FALSE,FALSE,FALSE,TRUE
US-0000665,"Americana Organics, Inc",americana-organics-inc,"Americana Organics, Inc",americana-organics-inc,cultivator,,,,CA,,US,,,(845) 701-6203,Eduardofernandez3284@gmail.Com,,CCL25-0000444,FALSE,FALSE,FALSE,TRUE
US-0000666,"Americana Organics, Inc.",americana-organics-inc,"Americana Organics, Inc.",americana-organics-inc,cultivator,,,,CA,,US,,,(845) 701-6203,Eduardofernandez3284@gmail.Com,,CCL20-0002367,FALSE,FALSE,FALSE,FALSE
US-0000667,Ameri-cann Farms,ameri-cann-farms,Ameri-cann Farms,ameri-cann-farms,cultivator,,,,CA,,US,,,(818) 922-4440,Americannfarms@gmail.Com,,CCL22-0000952,FALSE,FALSE,FALSE,FALSE
US-0000668,AmeriCanna Dream LLC,americanna-dream-llc,Ivy Hall - Edwardsville,ivy-hall-edwardsville,other,,"6197 Old Alton, Edwardsville Rd",Edwardsville,IL,62025,US,38.82385372,-89.97300167,(618) 655-1960,,,284.000302-AUDO,FALSE,FALSE,FALSE,TRUE
US-0000669,"Americanna Dream,LLC",americanna-dreamllc,Ivy Hall – CrystalLake,ivy-hall-crystallake,other,,,,IL,,US,,,,,,284.000313-AUDO,FALSE,FALSE,FALSE,TRUE
US-0000670,Ametrine LLC,ametrine-llc,Ametrine LLC,ametrine-llc,cultivator,,,,CA,,US,,,(775) 453-8202,Ametrine.Ca@gmail.Com,,CCL21-0001762,FALSE,FALSE,FALSE,TRUE
US-0000671,Ametrine Wellness,ametrine-wellness,Jetty Extracts,jetty-extracts,other,,,,CA,,US,,,(201) 966-8008,Info@jettyextracts.Com,,C11-0000374-LIC,FALSE,FALSE,FALSE,TRUE
US-0000672,Ametrine Wellness,ametrine-wellness,Jetty Extracts,jetty-extracts,other,,,,CA,,US,,,(510) 937-9082,,,DCC-10002243,FALSE,FALSE,FALSE,TRUE
US-0000673,AMF I LLC,amf-i-llc,Archive Portland,archive-portland,dispensary,,10645 SE HENRY ST STE B,,OR,,US,45.4767386,-122.5532411,,,,050-100089293F9,FALSE,FALSE,FALSE,TRUE
US-0000674,Amg Dynamic Enterprises Inc.,amg-dynamic-enterprises-inc,TRULEAF DISTRIBUTION,truleaf-distribution,other,,,,CA,,US,,,(760) 562-8008,Truleaph.Co@gmail.Com,,DCC-10003876,FALSE,FALSE,FALSE,FALSE
US-0000675,Amg Dynamic Enterprises Inc.,amg-dynamic-enterprises-inc,TRULEAF DISTRIBUTORS,truleaf-distributors,other,,,,CA,,US,,,(760) 562-8008,Truleaph.Co@gmail.Com,,C11-0001203-LIC,FALSE,FALSE,FALSE,TRUE
US-0000676,AMG DYNAMIC ENTERPRISES INC. [Equity Retailer],amg-dynamic-enterprises-inc-equity-retailer,AMG DYNAMIC ENTERPRISES INC. [Equity Retailer],amg-dynamic-enterprises-inc-equity-retailer,dispensary,,"2420 Portico Blvd, Suite A",Calexico,CA,92231,US,32.695552,-115.503611,(760) 562-8008,Truleaph.Co@gmail.Com,,C10-0000692-LIC,FALSE,FALSE,FALSE,TRUE
US-0000677,AMG Investments LLC,amg-investments-llc,AMG Investments LLC,amg-investments-llc,cultivator,,,,CA,,US,,,(209) 603-1519,Mojr1978@gmail.Com,,CCL22-0000965,FALSE,FALSE,FALSE,TRUE
US-0000678,"Ammerdine, LLC",ammerdine-llc,OAKFRUITLAND,oakfruitland,other,,,,CA,,US,,,(760) 799-3636,AmmerdineLLC@gmail.Com,,C11-0000121-LIC,FALSE,FALSE,FALSE,FALSE
US-0000679,AMP WNY LLC,amp-wny-llc,AMP WNY LLC,amp-wny-llc,other,,,,NY,,US,43.17314,-78.69095,,,,OCM-MICR-25-000217,FALSE,FALSE,FALSE,FALSE
US-0000680,Amplified Holdings,amplified-holdings,Amplified Holdings,amplified-holdings,cultivator,,,,CA,,US,,,(916) 712-5172,Steve@amplifiedfarms.Com,,CCL18-0000287,FALSE,FALSE,FALSE,FALSE
US-0000681,AMSM LLC,amsm-llc,AMSM LLC,amsm-llc,dispensary,eastleafdispensary.com,2442 Clinton Street,Cheektowaga,NY,14224,US,42.87148,-78.78554,,,,OCM-CAURD-24-000093,FALSE,FALSE,FALSE,FALSE
US-0000682,"AMSTERDAM CANNABIS, INC.",amsterdam-cannabis-inc,"AMSTERDAM CANNABIS, INC.",amsterdam-cannabis-inc,dispensary,,1451 State Highway 5S,Amsterdam,NY,12010,US,42.93117,-74.20785,,,,OCM-CAURD-23-000033,FALSE,FALSE,FALSE,FALSE
US-0000683,Amsterdam Farms LLC,amsterdam-farms-llc,Amsterdam Farms LLC,amsterdam-farms-llc,cultivator,,,Central Bridge,NY,,US,42.58822,-74.44212,,,,OCM-MICR-24-000053,FALSE,FALSE,FALSE,TRUE
US-0000684,Amsterdam Premium Cannabis Company,amsterdam-premium-cannabis-company,Amsterdam Premium Cannabis Company,amsterdam-premium-cannabis-company,dispensary,,231 S First ST,Harrison,MI,48625,US,44.0183978,-84.79937316,,,,AU-R-001029,FALSE,FALSE,FALSE,TRUE
US-0000685,AMT Retail LLC d/b/a/ iDeal Cannabis,amt-retail-llc-dba-ideal-cannabis,AMT Retail LLC d/b/a/ iDeal Cannabis,amt-retail-llc-dba-ideal-cannabis,dispensary,,,Sharon,VT,,US,43.7840852,-72.4537088,,,,RTLR0118,FALSE,FALSE,FALSE,TRUE
US-0000686,Amy Soderlind,amy-soderlind,Amy Soderlind,amy-soderlind,cultivator,,,,CA,,US,,,(707) 813-0633,Amy.Soderlind@gmail.Com,,CCL21-0000071,FALSE,FALSE,FALSE,FALSE
US-0000687,ANACORTES CANNABIS,anacortes-cannabis,ANACORTES CANNABIS,anacortes-cannabis,dispensary,,7656 STATE ROUTE 20 UNIT A,ANACORTES,WA,982218311,US,48.46226856,-122.5818095,3605886222,,,421652,FALSE,FALSE,FALSE,TRUE
US-0000688,Analemma LLC,analemma-llc,Analemma LLC,analemma-llc,cultivator,,,,CA,,US,,,(209) 594-9396,Info@analemma.Io,,CCL22-0000947,FALSE,FALSE,FALSE,TRUE
US-0000689,"Anat Group, Inc.",anat-group-inc,"Anat Group, Inc.",anat-group-inc,cultivator,,,,CA,,US,,,(818) 987-3757,Anatmetricmgmt@gmail.Com,,CCL19-0003264,FALSE,FALSE,FALSE,FALSE
US-0000690,"ANAT GROUP, INC.",anat-group-inc,"ANAT GROUP, INC.",anat-group-inc,other,,,,CA,,US,,,(310) 990-4450,Anatgroupinc@gmail.Com,,C11-0000385-LIC,FALSE,FALSE,FALSE,FALSE
US-0000691,"Anat Group, Inc.",anat-group-inc,"Anat Group, Inc.",anat-group-inc,other,,,,CA,,US,,,(310) 990-4450,Anatgroupinc@gmail.Com,,DCC-10003287,FALSE,FALSE,FALSE,FALSE
US-0000692,ANCIENT REMEDIES LLC,ancient-remedies-llc,The Joint on State,joint-on-state,dispensary,,2350,State St Salem,OR,97301-4542,US,44.9331768,-123.0132955,,,,050-1002423E8DA,FALSE,FALSE,FALSE,FALSE
US-0000693,Anderson Valley Cooperative,anderson-valley-cooperative,Anderson Valley Cooperative,anderson-valley-cooperative,cultivator,,,,CA,,US,,,(707) 671-6863,Davidfingerhood@gmail.Com,,CCL19-0004008,FALSE,FALSE,FALSE,FALSE
US-0000694,Anderson Valley Cooperative,anderson-valley-cooperative,Anderson Valley Cooperative,anderson-valley-cooperative,cultivator,,,,CA,,US,,,(707) 671-6863,Davidfingerhood@gmail.Com,,CCL20-0001271,FALSE,FALSE,FALSE,FALSE
US-0000695,Andy Lee,andy-lee,Andy Lee,andy-lee,cultivator,,,,CA,,US,,,(510) 600-2791,Andylee51@yahoo.Com,,CCL21-0003718,FALSE,FALSE,FALSE,FALSE
US-0000696,ANGEL CITY FARMERS COOPERATIVE CORPORATION,angel-city-farmers-cooperative-corporation,ANGEL CITY FARMERS COOPERATIVE CORPORATION,angel-city-farmers-cooperative-corporation,cultivator,,,,CA,,US,,,(213) 479-7601,1simeonegroup@gmail.Com,,CCL19-0003980,FALSE,FALSE,FALSE,FALSE
US-0000697,"Angel Farm, LLC",angel-farm-llc,"Angel Farm, LLC",angel-farm-llc,cultivator,,,,CA,,US,,,(918) 515-0889,Barkercreek2028@outlook.Com,,CCL20-0000035,FALSE,FALSE,FALSE,FALSE
US-0000698,ANGEL FARMS LLC,angel-farms-llc,ANGEL FARMS LLC,angel-farms-llc,cultivator|dispensary,,60800 Highway 96 East,Boone,CO,81025,US,38.22591652,-104.2064688,,,,403R-00953,FALSE,FALSE,FALSE,FALSE
US-0000699,Angel Flower LLC,angel-flower-llc,Angel Flower LLC,angel-flower-llc,cultivator,,,,CA,,US,,,(916) 995-3689,Yiachang530@gmail.Com,,CCL23-0000359,FALSE,FALSE,FALSE,FALSE
US-0000700,"Angel Organics Healing Center, LLC",angel-organics-healing-center-llc,Catalyst - Moreno Valley,catalyst-moreno-valley,dispensary,,24703 Alessandro Blvd,Moreno Valley,CA,92553,US,33.916028,-117.231738,(951) 448-6785,Jayzacz71@hotmail.Com,,C10-0000703-LIC,FALSE,FALSE,FALSE,TRUE
US-0000701,Angry Group LLC,angry-group-llc,Angry Group LLC,angry-group-llc,cultivator,,,,CA,,US,,,(628) 222-2888,Angrygroup7@gmail.Com,,CCL21-0004684,FALSE,FALSE,FALSE,TRUE
US-0000702,ANIMAS HERBAL WELLNESS CENTER INC,animas-herbal-wellness-center-inc,PROHIBITION HERB,prohibition-herb,dispensary,,1185 Camino Del Rio,Durango,CO,81301,US,37.2768045,-107.881736,,,,402R-00261,FALSE,FALSE,FALSE,TRUE
US-0000703,ANIMAS HERBAL WELLNESS CENTER INC,animas-herbal-wellness-center-inc,PROHIBITION HERB,prohibition-herb,cultivator|dispensary,,1115 South Bannock Street,Denver,CO,80223,US,39.6963399,-104.9902063,,,,403R-00550,FALSE,FALSE,FALSE,TRUE
US-0000704,Animo CBD LLC,animo-cbd-llc,Animo CBD LLC,animo-cbd-llc,dispensary,Animocaribe.com,2180 Clarendon Rd,Brooklyn,NY,11226,US,40.64259,-73.95697,,,,OCM-RETL-25-000383,FALSE,FALSE,FALSE,TRUE
US-0000705,Anmr LLC,anmr-llc,Royal Dab Delivers,royal-dab-delivers,dispensary,,,,CA,,US,,,(916) 598-1386,AnmrLLC@gmail.Com,,C9-0000846-LIC,FALSE,FALSE,FALSE,FALSE
US-0000706,ANPS Holdco LLC,anps-holdco-llc,Nature's Medicines,natures-medicines,other,,"701 East Dunlap Avenue, Suite 9",Phoenix,AZ,85020,US,33.56770557,-112.0651572,(602) 903-3769,,,00000096ESWI60030184,FALSE,FALSE,FALSE,FALSE
US-0000707,"Anresco, Incorporated",anresco-incorporated,Anresco Laboratories,anresco-laboratories,other,,,,CA,,US,,,(415) 822-1100,Sarah@anresco.Com,,C8-0000052-LIC,FALSE,FALSE,FALSE,FALSE
US-0000708,Ant Green LLC,ant-green-llc,Ant Green LLC,ant-green-llc,other,,,,CA,,US,,,(415) 941-8808,AntgreenLLC@gmail.Com,,C11-0001949-LIC,FALSE,FALSE,FALSE,TRUE
US-0000709,ANT Green LLC,ant-green-llc,ANT Green LLC,ant-green-llc,cultivator,,,,CA,,US,,,(415) 941-8808,AntgreenLLC@gmail.Com,,CCL22-0000460,FALSE,FALSE,FALSE,TRUE
US-0000710,ANT Green LLC,ant-green-llc,ANT Green LLC,ant-green-llc,cultivator,,,,CA,,US,,,(415) 941-8808,AntgreenLLC@gmail.Com,,CCL22-0000461,FALSE,FALSE,FALSE,FALSE
US-0000711,ANT Green LLC,ant-green-llc,ANT Green LLC,ant-green-llc,cultivator,,,,CA,,US,,,(415) 941-8808,AntgreenLLC@gmail.Com,,CCL22-0000462,FALSE,FALSE,FALSE,TRUE
US-0000712,ANT Green LLC,ant-green-llc,ANT Green LLC,ant-green-llc,cultivator,,,,CA,,US,,,(415) 941-8808,AntgreenLLC@gmail.Com,,CCL22-0000463,FALSE,FALSE,FALSE,TRUE
US-0000713,ANT Green LLC,ant-green-llc,ANT Green LLC,ant-green-llc,cultivator,,,,CA,,US,,,(415) 941-8808,AntgreenLLC@gmail.Com,,CCL22-0000464,FALSE,FALSE,FALSE,TRUE
US-0000714,ANT Green LLC,ant-green-llc,ANT Green LLC,ant-green-llc,cultivator,,,,CA,,US,,,(415) 941-8808,AntgreenLLC@gmail.Com,,CCL22-0000465,FALSE,FALSE,FALSE,TRUE
US-0000715,ANT Green LLC,ant-green-llc,ANT Green LLC,ant-green-llc,cultivator,,,,CA,,US,,,(415) 941-8808,AntgreenLLC@gmail.Com,,CCL22-0000466,FALSE,FALSE,FALSE,TRUE
US-0000716,ANT Green LLC,ant-green-llc,ANT Green LLC,ant-green-llc,cultivator,,,,CA,,US,,,(415) 941-8808,AntgreenLLC@gmail.Com,,CCL22-0000467,FALSE,FALSE,FALSE,FALSE
US-0000717,ANT Green LLC,ant-green-llc,ANT Green LLC,ant-green-llc,cultivator,,,,CA,,US,,,(415) 941-8808,AntgreenLLC@gmail.Com,,CCL22-0000468,FALSE,FALSE,FALSE,TRUE
US-0000718,ANT Green LLC,ant-green-llc,ANT Green LLC,ant-green-llc,cultivator,,,,CA,,US,,,(415) 941-8808,AntgreenLLC@gmail.Com,,CCL22-0000469,FALSE,FALSE,FALSE,TRUE
US-0000719,ANT Green LLC,ant-green-llc,ANT Green LLC,ant-green-llc,cultivator,,,,CA,,US,,,(415) 941-8808,AntgreenLLC@gmail.Com,,CCL22-0000470,FALSE,FALSE,FALSE,TRUE
US-0000720,ANT Green LLC,ant-green-llc,ANT Green LLC,ant-green-llc,cultivator,,,,CA,,US,,,(415) 941-8808,AntgreenLLC@gmail.Com,,CCL22-0000471,FALSE,FALSE,FALSE,TRUE
US-0000721,Ant Green LLC,ant-green-llc,Ant Green LLC,ant-green-llc,dispensary,,3625 18th St E,Antioch,CA,94509,US,38.006977,-121.755169,(415) 941-8808,Pierre121610@gmail.Com,,C10-0001249-LIC,FALSE,FALSE,FALSE,TRUE
US-0000722,Antelope Valley Wellness LLC,antelope-valley-wellness-llc,High Way,high-way,dispensary,,42653 Sierra Hwy,Lancaster,CA,93535,US,34.657991,-118.130911,(818) 426-1538,Christian.E.Nitu@gmail.Com,,C10-0001590-LIC,FALSE,FALSE,FALSE,FALSE
US-0000723,ANTERO SCIENCES LLC,antero-sciences-llc,ANTERO SCIENCES LLC,antero-sciences-llc,cultivator|dispensary,,7851 County Road 150,Salida,CO,81201,US,38.5494856,-106.0215703,,,,403R-00163,FALSE,FALSE,FALSE,FALSE
US-0000724,ANTRINITY LLC,antrinity-llc,ANTRINITY LLC,antrinity-llc,other,,,,CA,,US,,,(213) 262-8874,Mail@antrinity.Com,,C12-0000300-LIC,FALSE,FALSE,FALSE,TRUE
US-0000725,Anunit LLC,anunit-llc,Anunit LLC,anunit-llc,cultivator,,,,CA,,US,,,(530) 802-6552,Pattimeek@gmail.Com,,CCL24-0000691,FALSE,FALSE,FALSE,TRUE
US-0000726,AO OREGON LLC,ao-oregon-llc,Amazon Organics,amazon-organics,dispensary,,3443,Hilyard St Eugene,OR,97405-3881,US,44.0193458,-123.080992,,,,050-1000628466D,FALSE,FALSE,FALSE,TRUE
US-0000727,Ap & K Management LLC,ap-k-management-llc,CANNABUS,cannabus,dispensary,,,,CA,,US,,,(818) 732-9279,Shopcannabus@gmail.Com,,C9-0000820-LIC,FALSE,FALSE,FALSE,FALSE
US-0000728,Apache County Dispensary LLC,apache-county-dispensary-llc,Apache County Dispensary LLC,apache-county-dispensary-llc,other,,900 East Main Street,Springerville,AZ,85938,US,34.1323361,-109.2735507,620-921-5967,,,00000133ESGJ79432018,FALSE,FALSE,FALSE,FALSE
US-0000729,APEQN CORPORATION,apeqn-corporation,The Weeds,weeds,dispensary,,2175,S Santiam Hwy Lebanon,OR,97355-3045,US,44.5250367,-122.9070537,,,,050-7694,FALSE,FALSE,FALSE,FALSE
US-0000730,"A-Perris Grow, LLC",a-perris-grow-llc,"A-Perris Grow, LLC",a-perris-grow-llc,cultivator,,,,CA,,US,,,(818) 489-8474,Kevinkrivitsky@gmail.Com,,CCL22-0000272,FALSE,FALSE,FALSE,TRUE
US-0000731,Apex Arboretum Inc. dba Upstate Elevator Dispensary; dba Upstate Elevator Operators,apex-arboretum-inc-dba-upstate-elevator-dispensary-dba-upstate-elevator-operators,Apex Arboretum Inc. dba Upstate Elevator Dispensary; dba Upstate Elevator Operators,apex-arboretum-inc-dba-upstate-elevator-dispensary-dba-upstate-elevator-operators,dispensary,,,Burlington,VT,,US,44.4758825,-73.212072,,,,RTLR0004,FALSE,FALSE,FALSE,TRUE
US-0000732,APEX MOSES LAKE,apex-moses-lake,APEX MOSES LAKE,apex-moses-lake,dispensary,,955 W BROADWAY AVE,MOSES LAKE,WA,988372602,US,47.12492513,-119.2902898,2065082410,,,439988,FALSE,FALSE,FALSE,TRUE
US-0000733,APEX Otis Orchards,apex-otis-orchards,APEX Otis Orchards,apex-otis-orchards,dispensary,,21502 E GILBERT AVE,OTIS ORCHARDS,WA,990279241,US,47.70707294,-117.1171495,2065082410,,,440314,FALSE,FALSE,FALSE,FALSE
US-0000734,APEX SPOKANE,apex-spokane,APEX SPOKANE,apex-spokane,dispensary,,1325 N DIVISION ST STE 104,SPOKANE,WA,992021808,US,47.67012649,-117.411231,2065082410,,,440307,FALSE,FALSE,FALSE,FALSE
US-0000735,APF Syndicate CORP,apf-syndicate-corp,The Flowery,flowery,dispensary,,2465 Broadway,New York,NY,10025,US,40.79181,-73.97402,,,,OCM-CAURD-24-000222,FALSE,FALSE,FALSE,TRUE
US-0000736,Apical Industries,apical-industries,Apical Industries,apical-industries,cultivator,,,,CA,,US,,,(707) 272-7805,Terminalc@gmail.Com,,CCL18-0001663,FALSE,FALSE,FALSE,FALSE
US-0000737,Apical Industries,apical-industries,Apical Industries,apical-industries,cultivator,,,,CA,,US,,,(707) 272-7805,Terminalc@gmail.Com,,CCL19-0000201,FALSE,FALSE,FALSE,FALSE
