Phone Number,Dispensary,License,Address,City,Zip code,County,Last updated,latitude,longitude
314-749-2677,Proper Cannabis,DIS000073,10855 Manchester Rd,Kirkwood,63122,St. Louis,"March 11, 2026",38.600105,-90.408641
314-749-2677,"Proper Brands, Proper Cannabis",DIS000208,12430 St. Charles Rock Road,Bridgeton,63044,St. Louis,"March 11, 2026",38.755396,-90.431346
557-223-1872,C Cannabis Dispensary; Codes Cannabis; Codes Cannabis Dispensary; Codes Supreme Cannabis,DIS000184,124 Richard Drive,West Alton,63386,St. Charles,"March 11, 2026",38.860797793,-90.221106433
816-831-3877,Key Cannabis Dispensary,DIS000007,121 S. Walnut Street,Cameron,64429,Clinton,"March 11, 2026",39.739159010,-94.235748041
872-302-0293,Greenlight Dispensary,DIS000108,1729 E 7th St,Joplin,64801,Jasper,"March 11, 2026",37.083935,-94.495915
702-496-3051,"Missouri Made Marijuana, Kabunky, Farm Direct, Low Key",DIS000109,1502 S Range Line Rd,Joplin,64804,Jasper,"March 11, 2026",37.073727,-94.4782423
614-295-7521,Verts; Verts Dispensary; Verts Neighborhood Dispensary,DIS000091,25733 Fir Rd,Joplin,64801,Jasper,"March 11, 2026",37.143683,-94.521907
417-580-0140,Good Day Farm Dispensary; Good Day Farm; Gdf Dispensary,DIS000084,2918 E 20th St,Joplin,64804,Jasper,"March 11, 2026",37.06892,-94.47874
417-850-9999,Flora Farms,DIS000081,4027 Richard Joseph Blvd,Joplin,64804,Jasper,"March 11, 2026",37.043925983,-94.479345006
660-492-5952,"Good Day Farm, Good Day Farm Dispensary, Gdf Dispensary",DIS000156,1730 U.S. Hwy 160,Mindenmines,64769,Barton,"March 11, 2026",37.470484,-94.615945
660-249-2006,"Sunrise, Dispensary, Sunrise Dispensary, Sunrise Marijuana Dispensary",DIS000032,2316 S. Main St,Maryville,64468,Nodaway,"March 11, 2026",40.32321,-94.874671
573-529-0312,'3fifteen Primo' Or '3fifteen' Or '3fifteen Primo Cannabis',DIS000121,839 Meramec Station Rd,Valley Park,63088,St. Louis,"March 11, 2026",38.5602509,-90.4931456
223-488-7346,Blue Sage Cannabis Deli; Blue Sage Cannabis Co.,DIS000080,2093 Smizer Station Rd,Valley Park,63088,St. Louis,"March 11, 2026",38.5371004,-90.4950661
734-395-3658,"Swade Eureka, Llc; Swade",DIS000079,108 C Hilltop Village Center Dr,Eureka,63025,St. Louis,"March 11, 2026",38.5062573,-90.6368038
816-588-8838,Greenlight Dispensary,DIS000224,105 Speedys Dr,Rock Port,64482,Atchison,"March 11, 2026",40.40659,-95.552823
314-223-6680,Kind Goods Medical Dispensary; Kind Goods,DIS000142,"180 Gravois Bluffs Cir, Ste B",Fenton,63026,St. Louis,"March 11, 2026",38.502602986,-90.44498296
636-375-1860,North,DIS000136,929 Peachtree Plaza Dr,Hillsboro,63050,Jefferson,"March 11, 2026",38.220791928,-90.575504434
417-991-3491,"Blue Sage Cannabis Deli, Dispensary Outlet, Come See Your Buds",DIS000187,1210 Deadra Dr,Lebanon,65536,Laclede,"March 11, 2026",37.6685271,-92.6366297
314-266-9903,"C Cannabis Dispensary, Codes Cannabis, Codes Cannabis Dispensary, Codes Supreme Cannabis",DIS000058,10834 Saint Charles Rock Rd,St. Ann,63074,St. Louis,"March 11, 2026",38.733729,-90.39266
314-560-2414,Heya Dispensary,DIS000020,10417a Saint Charles Rock Rd,St. Ann,63074,St. Louis,"March 11, 2026",38.728569,-90.3831382
417-850-9999,Flora Farms,DIS000148,68 E 300th Road,Humansville,65674,Polk,"March 11, 2026",37.828531,-93.616829
417-850-9999,Flora Farms,DIS000106,70 Missouri Ln,Pineville,64856,McDonald,"March 11, 2026",36.503879,-94.2755
734-412-4600,High Profile Cannabis Shop,DIS000101,35 Macadoodle Lane,Pineville,64856,McDonald,"March 11, 2026",36.503445,-94.278075
573-440-0967,C Cannabis Dispensary; Codes Cannabis; Codes Cannabis Dispensary; Codes Supreme Cannabis,DIS000222,1201 Vincent Drive,Perryville,63775,Perry,"March 11, 2026",37.707019,-89.892314
314-709-1745,Missouri Wild Alchemy,DIS000176,2173 W Terra Ln,O Fallon,63366,St. Charles,"March 11, 2026",38.806149,-90.76926
314-369-8905,Terrabis,DIS000155,1172 W Terra Ln,O Fallon,63366,St. Charles,"March 11, 2026",38.804304,-90.732656
618-210-1577,Nature Med Dispensary,DIS000152,1193 Bryan Road,O Fallon,63366,St. Charles,"March 11, 2026",38.790336,-90.737258
660-249-2034,"Sunrise, Dispensary, Sunrise Dispensary, Sunrise Marijuana Dispensary",DIS000186,2750 Nw 7 Highway,Clinton,64735,Henry,"March 11, 2026",38.389079,-93.807519
417-850-9999,Flora Farms,DIS000223,165 Hollister Parkway,Hollister,65672,Taney,"March 11, 2026",36.60619,-93.231651306
417-830-8997,The Dispensary,DIS000093,15335 State Hwy 76,Cassville,65625,Barry,"March 11, 2026",36.671625,-93.864577
248-255-1283,High Profile Cannabis Shop; High Profile,DIS000103,10425 Watson Rd,St. Louis,63127,St. Louis,"March 11, 2026",38.5561128,-90.4040387
417-988-1523,Ozark Mountain Healing,DIS000227,4713 W State Highway 90,Noel,64854,McDonald,"March 11, 2026",36.536264,-94.47471
417-988-6842,Codes Cannabis; Codes Cannabis Dispensary; C Cannabis Dispensary; Codes Supreme Cannabis,DIS000216,3646 State Highway Ac,Cardwell,63829,Dunklin,"March 11, 2026",36.039280510,-90.337518894
636-322-4054,Good Day Farm Dispensary; Good Day Farm; Gdf Dispensary,DIS000179,"1909 N Service Rd E, B",St. Clair,63077,Franklin,"March 11, 2026",38.364414,-90.979097
615-881-0708,Stairway Cannabis Dispensary Blue Springs,DIS000062,490 Sw Mo-7 Hwy,Blue Springs,64015,Jackson,"March 11, 2026",39.01417,-94.27217
816-223-7159,"Kansas City Cannabis Co., Kansas City Cannabis, Kc Cannabis, Kcc",DIS000013,1117 Nw State Route 7,Blue Springs,64015,Jackson,"March 11, 2026",39.031486,-94.273161
636-448-6021,Swade Cannabis - Rolla; Swade Cannabis Dispensary,DIS000196,1031 Kingshighway,Rolla,65401,Phelps,"March 11, 2026",37.944923,-91.782803
573-247-4347,Trinity,DIS000127,"1421 Forum Dr, A1 And B1",Rolla,65401,Phelps,"March 11, 2026",37.954397,-91.7525558
660-596-0625,"Good Day Farm Dispensary, Good Day Farm, Gdf Dispensary",DIS000213,20021 E State Hwy N,Eagleville,64442,Harrison,"March 11, 2026",40.46609,-93.974419
417-272-1105,Fresh Karma Dispensaries; Fresh+Karma Dispensaries,DIS000105,18490 Business 13,Branson West,65737,Stone,"March 11, 2026",36.701522,-93.369104
573-529-0312,'3fifteen Primo' Or '3fifteen' Or '3fifteen Primo Cannabis',DIS000085,18031 Business 13,Branson West,65737,Stone,"March 11, 2026",36.697634,-93.369309
816-831-3877,Key Cannabis Dispensary,DIS000064,6700-6704 Highway N,O'Fallon,63304,St. Charles,"March 11, 2026",38.755104592,-90.697910744
872-302-0293,Greenlight Dispensary,DIS000061,3721 S. Noland Road,Independence,64055,Jackson,"March 11, 2026",39.051987,-94.414464
520-307-9708,Natures Med Dispensary,DIS000059,15823 E Us Highway 24,Independence,64050,Jackson,"March 11, 2026",39.1157,-94.3861399
816-272-1661,Gdf Dispensary; Good Day Farm; Good Day Farm Dispensary,DIS000054,16820 E. Us Highway 24,Independence,64056,Jackson,"March 11, 2026",39.118612,-94.379533
913-220-0044,From The Earth Dispensary,DIS000035,19341 E Us Highway 40,Independence,64055,Jackson,"March 11, 2026",39.029603,-94.354314
314-422-3617,Fresh Karma Dispensaries; Fresh Karma,DIS000229,208 E Young Ave,Warrensburg,64093,Johnson,"March 11, 2026",38.771125793,-93.736740112
858-848-4588,Swade Cannabis Dispensary; Swade Cannabis,DIS000150,219 W Young Ave,Warrensburg,64093,Johnson,"March 11, 2026",38.771593,-93.743182
573-755-0259,C Cannabis Dispensary; Codes Cannabis; Codes Cannabis Dispensary; Codes Supreme Cannabis,DIS000134,2421 E Jackson Boulevard,Jackson,63755,Cape Girardeau,"March 11, 2026",37.366523,-89.640774
