BUSINESS_NAME,BUSINESS_EMAIL,BUSINESS_PHONE,BUSINESS_ADDRESS_1,BUSINESS_ADDRESS_2,BUSINESS_CITY,BUSINESS_STATE,BUSINESS_ZIP_CODE,MAILING_ADDRESS_1,MAILING_ADDRESS_2,MAILING_CITY,MAILING_STATE,MAILING_ZIP_CODE,EIN_TIN,LICENSE_NUMBER,LICENSE_TYPE,REVIEW_PRIORITY,FIRST_COMPLIANCE_REVIEW_DATE,CNB_DEEMED_COMPLETE_DATE,APPROVED_LICENSE_STAGE,LICENSE_STATUS,LIC_FEE_PAYMENT_SUBMITTED_DATE,LICENSE_FEE_AMOUNT,PHYSICAL_ADDRESS_1,PHYSICAL_ADDRESS_2,PHYSICAL_CITY,PHYSICAL_ZIP_CODE,PRIORITY,FEE_WAIVER_REQUEST,FEE_WAIVER_EE_OR_SE_NUMBER,APPROVED_SOCIAL_EQUITY,EE_PRIORITY_STATUS,EE_PRIORITY_NUMBER_FROM_ACCOUNT,EE_PRIORITY_NUMBER_FROM_APPLICATION,RMD_PRIORITY_STATUS,RMD_PRIORITY_NUMBER_FROM_ACCOUNT,RMD_PRIORITY_NUMBER_FROM_APPLICATION,CULTIVATION_ENVIRONMENT,CULTIVATION_TIER,CNB_INITIAL_DATE_OF_REVIEW,CNB_DATE_NOTICE_SENT_TO_MUNICIPALITY,CNB_60_DAY_MUNICIPAL_DEADLINE_DATE,CNB_90_DAY_REVIEW_DEADLINE_DATE,CNB_DATE_BACKGROUND_AUTHORIZATION_SENT,CNB_DATE_BACKGROUND_REPORT_RECEIVED,CNB_FINGER_PRINT_RESULTS_RECEIVED_DATE,CNB_DATE_OF_MUNICIPAL_RESPONSE,CNB_FINAL_APPLICATION_REVIEW,CNB_APPLICATION_RECOMMENDATION,CNB_DATE_OF_FINAL_INSPECTION,CNB_FINAL_INSPECTION_RESULT,CNB_FINAL_LICENSE_RECOMMENDATION,CNB_DATE_OF_FINAL_LICENSURE,COMMENCE_OPERATIONS_DATE,LICENSE_ORIGINAL_START_DATE,LICENSE_START_DATE,LICENSE_EXPIRATION_DATE,LICENSE_SUSPENSION_START_DATE,LICENSE_SUSPENSION_END_DATE,LICENSE_REVOCATION_DATE,LICENSE_SURRENDERED_DATE,SOURCE_FILE,APPLICATION_DENIED_DATE,APPROVED_SE_NUMBER,APPLICATION_APPROVED_DATE,ORIGINAL_SUBMITTED_DATE,APPLICATION_CREATED_DATE,APPLICATION_STATUS,SUBMITTED_DATE,PAYMENT_AMOUNT,APPLICATION_NUMBER,ESTABLISHMENT_ADDRESS_1,ESTABLISHMENT_ADDRESS_2,ESTABLISHMENT_CITY,ESTABLISHMENT_STATE,ESTABLISHMENT_ZIP_CODE,REVIEW_PRIORITY_CATEGORY,REVIEW_PRIORITY_TYPE,COMMENCE_OPS,INDUSTRY
"The Botanist, Inc.",c.tolford@acreageholdings.com,207-232-3745,200 Portland Street,5th Floor,Boston,MA,02114,200 Portland Street,5th Floor,Boston,MA,02114,47-3905518,MR282186,Marijuana Retailer,Priority Review - MTC Priority,,,FINAL LICENSE,Active,,10000,235 Hartford Turnpike,,Shrewsbury,01545,true,No,,,,,,APPROVED,RP201860,RP201860,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN282186,235 Hartford Turnpike,,Shrewsbury,MA,01545,Priority Review,MTC Priority,FALSE,Adult-Use
"Mission MA, Inc. ",leise.rosman@4frontventures.com,833-768-4357,640 Lincoln St.,,Worcester,MA,01605,5060 N. 40th Street,Suite 120,Phoenix,AZ,85018,47-3906035,MC281288,Marijuana Cultivator,Priority Review - MTC Priority,,,FINAL LICENSE,Expired,,1250,640 Lincoln Street,Suite 200,Worcester,01605,true,No,,,,,,APPROVED,RP201814,RP201863,Indoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,200,MCN281288,640 Lincoln Street,Suite 200,Worcester,MA,01605,Priority Review,MTC Priority,FALSE,Adult-Use
"Mission MA, Inc.",leise.rosman@4frontventures.com,833-768-4357,640 Lincoln St.,,Worcester,MA,01605,5060 N. 40th Street,Suite 120,Phoenix,AZ,85018,47-3906035,MP281312,Marijuana Product Manufacturer,Priority Review - MTC Priority,,,FINAL LICENSE,Expired,,5000,640 Lincoln Street,Suite 200,Worcester,01605,true,No,,,,,,APPROVED,RP201814,RP201863,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MPN281312,640 Lincoln Street,Suite 200,Worcester,MA,01605,Priority Review,MTC Priority,FALSE,Adult-Use
"Mission MA, Inc.",leise.rosman@4frontventures.com,833-768-4357,640 Lincoln St.,,Worcester,MA,01605,5060 N. 40th Street,Suite 120,Phoenix,AZ,85018,47-3906035,MR281259,Marijuana Retailer,Priority Review - MTC Priority,,,FINAL LICENSE,Active,,8287.67,640 Lincoln Street,Suite 200,Worcester,01605,true,No,,,,,,APPROVED,RP201814,RP201863,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN281259,640 Lincoln Street,Suite 200,Worcester,MA,01605,Priority Review,MTC Priority,FALSE,Adult-Use
"Mission MA, Inc.",leise.rosman@4frontventures.com,833-768-4357,640 Lincoln St.,,Worcester,MA,01605,"5060 N. 40th Street, Suite 120",,Phoenix,AZ,85018,47-3906035,MR282028,Marijuana Retailer,Priority Review - MTC Priority,,,FINAL LICENSE,Expired,,5000,1024B Commonwealth Avenue,,Brookline,02215,true,No,,,,,,APPROVED,RP201814,RP201863,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN282028,1024B Commonwealth Avenue,,Brookline,MA,02215,Priority Review,MTC Priority,FALSE,Adult-Use
Mass Wellspring LLC,info@masswellspring.org,781-418-0943,18 Powdermill Rd,,Acton,MA,01720,18 Powdermill Rd,,Acton,MA,01720,47-4345859,MR281363,Marijuana Retailer,General Applicant,,,FINAL LICENSE,Active,,10000,4-6 Nason Street,,Maynard,01754,true,No,,,,,,APPROVED,RP201837,RP201837,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN281363,4-6 Nason Street,,Maynard,MA,01754,General Applicant,General Applicant,FALSE,Adult-Use
"The Haven Center, Inc.",chris.havencenter@gmail.com,508-360-9644,245 Rout 6A,,Orleans,MA,02653,Po Box 2036 ,,Orleans,MA,02653,47-4353074,MC282072,Marijuana Cultivator,Priority Review - MTC Priority,,,PROVISIONAL LICENSE,Expired,,2500,3065 Cranberry Highway,,Wareham,02538,true,No,,,,,,APPROVED,RP201922,RP201922,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,400,MCN282072,3065 Cranberry Highway,,Wareham,MA,02538,Priority Review,MTC Priority,FALSE,Adult-Use
"The Haven Center, Inc.",chris.havencenter@gmail.com,508-360-9644,245 Rout 6A,,Orleans,MA,02653,Po Box 2036,,Orleans,MA,02653,47-4353074,MP281639,Marijuana Product Manufacturer,Priority Review - MTC Priority,,,PROVISIONAL LICENSE,Expired,,5000,3065 Cranberry Highway,,Wareham,02538,true,No,,,,,,APPROVED,RP201922,RP201922,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MPN281639,3065 Cranberry Highway,,Wareham,MA,02538,Priority Review,MTC Priority,FALSE,Adult-Use
"The Haven Center, Inc.",chris.havencenter@gmail.com,508-360-9644,245 Route 6A,,Orleans,MA,02653,Po Box 2036,,Orleans,MA,02653,47-4353074,MR281258,Marijuana Retailer,Priority Review - MTC Priority,,,FINAL LICENSE,Active,,5000,"308-310 Commercial Street, Units A3, A4 and A5",,Provincetown,02657,true,No,,,,,,APPROVED,RP201922,RP201922,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN281258,"308-310 Commercial Street, Units A3, A4 And A5",,Provincetown,MA,02657,Priority Review,MTC Priority,FALSE,Adult-Use
"The Haven Center, Inc.",chris.havencenter@gmail.com,508-360-9644,245 Route 6A,,Orleans,MA,02653,PO Box 2036,,Orleans,MA,02653,47-4353074,MR282481,Marijuana Retailer,Priority Review - MTC Priority,,,FINAL LICENSE,Active,,5000,4018 Main Street,,Brewster,02631,true,No,,,,,,APPROVED,RP201922,RP201922,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN282481,4018 Main Street,,Brewster,MA,02631,Priority Review,MTC Priority,FALSE,Adult-Use
"The Haven Center, Inc.",Chris.Havencenter@gmail.com,508-360-9644,245 Route 6A,,Orleans,MA,02653,245 Route 6A,,Orleans,MA,02653,47-4353074,MR282581,Marijuana Retailer,Priority Review - MTC Priority,,,PROVISIONAL LICENSE,Expired,,10000,1435 Pleasant Street,,Fall River,02723,true,No,,,,,,APPROVED,RP201922,RP201922,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN282581,1435 Pleasant Street,,Fall River,MA,02723,Priority Review,MTC Priority,FALSE,Adult-Use
"Wellness Connection of MA, Inc",elena@stonepm.net,617-821-0113,44 Railroad Street,,Revere,MA,02151,44 Railroad Street,,Revere,MA,02151,47-4380834,MR281971,Marijuana Retailer,Priority Review - MTC Priority,,,PROVISIONAL LICENSE,Expired,,10000,44 Railroad Street,,Revere,02151,true,No,,,,,,APPROVED,RP201942,RP201942,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MRN281971,44 Railroad Street,,Revere,MA,02151,Priority Review,MTC Priority,FALSE,Adult-Use
"Nature Medicines, Inc",dbrayton@xwellinc.com,401-835-7788,1045 Quaker Highway,,Uxbridge,MA,01569,Po Box D,482 Globe Street,Fall River,MA,02724,47-4387528,MC281806,Marijuana Cultivator,Priority Review - MTC Priority,,,PROVISIONAL LICENSE,Active,,7500,1045 Quaker Highway,,Uxbridge,02724,true,No,,,,,,APPROVED,RP201918,RP201918,Indoor,"Tier 04: 20,001 to 30,000 sq. ft",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,600,MCN281806,1045 Quaker Highway,,Uxbridge,MA,02724,Priority Review,MTC Priority,FALSE,Adult-Use
"Nature Medicines, Inc",dbrayton@xwellinc.com,401-835-7788,482 Globe Street,,Fall River,MA,02724,Po Box D,482 Globe Street,Fall River,MA,02724,47-4387528,MR281701,Marijuana Retailer,Priority Review - MTC Priority,,,FINAL LICENSE,Active,,5000,482 Globe Street,,Fall River,02724,true,No,,,,,,APPROVED,RP201918,RP201918,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN281701,482 Globe Street,,Fall River,MA,02724,Priority Review,MTC Priority,FALSE,Adult-Use
"Nature Medicines, Inc",dbrayton@xwellinc.com,401-835-7788,1045 Quaker Highway,,Uxbridge,MA,01569,Po Box D,482 Globe Street,Fall River,MA,02724,47-4387528,MR281709,Marijuana Retailer,Priority Review - MTC Priority,,,FINAL LICENSE,Active,,5000,1045 Quaker Highway,,Uxbridge,01569,true,No,,,,,,APPROVED,RP201918,RP201918,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN281709,1045 Quaker Highway,,Uxbridge,MA,01569,Priority Review,MTC Priority,FALSE,Adult-Use
"Nature Medicines, Inc",dbrayton@xwellinc.com,508-469-8571,482 Globe Street,,Fall River,MA,02724,482 Globe Street,,Fall River,MA,02724,47-4387528,MR282482,Marijuana Retailer,Priority Review - MTC Priority,,,FINAL LICENSE,Active,,5000,3119 Cranberry Highway,,Wareham,02538,true,No,,,,,,APPROVED,RP201918,RP201918,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN282482,3119 Cranberry Highway,,Wareham,MA,02538,Priority Review,MTC Priority,FALSE,Adult-Use
"Nature's Medicines, Inc.",jigarp@ammallc.com,401-696-8447,1045 Quaker Highway,,Uxbridge,MA,01569,1045 Quaker Highway,,Uxbridge,MA,02724,47-4387528,RMD3592,Medical Marijuana Treatment Center,General Applicant,,,PROVISIONAL LICENSE,Expired,,50000,1045 Quaker Hwy,,Uxbridge,01569,true,No,,,,,,APPROVED,RP201918,,Indoor,"Tier 04: 20,001 to 30,000 sq. ft",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,3500,RMDA3592,1045 Quaker Hwy,,Uxbridge,MA,01569,General Applicant,General Applicant,FALSE,Medical
"Olde World Remedies, Inc.",jcrawford@publicpolicylaw.com,617-650-3331,50 Congress Street,Suite 420,Boston,MA,02109,50 Congress Street,Suite 420,Boston,MA,02109,47-4390517,MR282742,Marijuana Retailer,Priority Review - MTC Priority,,,FINAL LICENSE,Active,,10000,953 Western Avenue,,Lynn,01901,true,No,,,,,,,,RPA201932,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN282742,953 Western Avenue,,Lynn,MA,01901,Priority Review,MTC Priority,FALSE,Adult-Use
"Resinate, Inc.",pdecaro@iresinate.com,508-864-5180,120 Gilboa Street,,Douglas,MA,01516,120 Gilboa Street,,Douglas,MA,01516,47-4392516,MC281259,Marijuana Cultivator,Priority Review - MTC Priority,,,FINAL LICENSE,Active,,5000,120 Gilboa Street,,Douglas,01516,true,No,,,,,,APPROVED,RP201945,RP201945,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,600,MCN281259,120 Gilboa Street,,Douglas,MA,01516,Priority Review,MTC Priority,FALSE,Adult-Use
"Resinate, Inc.",pdecaro@iresinate.com,508-864-5180,120 Gilboa Street,,Douglas,MA,01516,120 Gilboa Street,,Douglas,MA,01516,47-4392516,MP281753,Marijuana Product Manufacturer,Priority Review - MTC Priority,,,PROVISIONAL LICENSE,Expired,,10000,120 Gilboa Street,,Douglas,01516,true,No,,,,,,APPROVED,RP201945,RP201945,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MPN281753,120 Gilboa Street,,Douglas,MA,01516,Priority Review,MTC Priority,FALSE,Adult-Use
"Resinate, Inc.",pdecaro@iresinate.com,508-864-5180,120 Gilboa Street,,Douglas,MA,01516,120 Gilboa Street,,Douglas,MA,01516,47-4392516,MR281249,Marijuana Retailer,Priority Review - MTC Priority,,,FINAL LICENSE,Active,,10000,1191 Millbury Street,,Worcester,01607,true,No,,,,,,APPROVED,RP201945,RP201945,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN281249,1191 Millbury Street,,Worcester,MA,01607,Priority Review,MTC Priority,FALSE,Adult-Use
"Resinate, Inc.",pdecaro@iresinate.com,508-864-5180,120 Gilboa Street,,Douglas,MA,01516,120 Gilboa Street,,Douglas,MA,01516,47-4392516,MR282398,Marijuana Retailer,Priority Review - MTC Priority,,,FINAL LICENSE,Active,,10000,110 Pleasant Street,,Northampton,01060,true,No,,,,,,APPROVED,RP201945,RP201945,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN282398,110 Pleasant Street,,Northampton,MA,01060,Priority Review,MTC Priority,FALSE,Adult-Use
"Haze of Grafton, LLC",pdecaro@iresinate.com,508-864-8150,120 Gilboa Street,,Douglas,MA,01516,120 Gilboa Street,,Douglas,MA,01516,47-4392516,MR282399,Marijuana Retailer,General Applicant,,,FINAL LICENSE,Active,,10000,135 Westborough Road,,Grafton,01519,true,No,,,,,,,,RP201945,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN282399,135 Westborough Road,,Grafton,MA,01519,General Applicant,General Applicant,FALSE,Adult-Use
"Resinate, Inc.",pdecaro@iresinate.com,508-864-8150,110 Pleasant Street,,Northampton,MA,01060,110 Pleasant Street,,Northampton,MA,01060,47-4392516,RMD4121,Medical Marijuana Treatment Center,General Applicant,,,FINAL LICENSE,Active,,50000,110 Pleasant Street,,Northampton,01060,true,No,,,,,,APPROVED,RP201945,,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,3500,RMDA4121,110 Pleasant Street,,Northampton,MA,01060,General Applicant,General Applicant,FALSE,Medical
"Four Daughters Compassionate Care, Inc.",james.leventis@verano.holdings,224-622-8770,1200 Providence Highway,,Sharon,MA,02067,415 N. Dearborn Street,4th Floor,Chicago,IL,60654,47-4470548,MC282243,Marijuana Cultivator,Priority Review - MTC Priority,,,FINAL LICENSE,Active,,20000,1200 General Edwards Highway,,Sharon,02067,true,No,,,,,,APPROVED,RP201864,RPA201864,Indoor,"Tier 04: 20,001 to 30,000 sq. ft",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,600,MCN282243,1200 General Edwards Highway,,Sharon,MA,02067,Priority Review,MTC Priority,FALSE,Adult-Use
"Four Daughters Compassionate Care, Inc.",james.leventis@verano.holdings,224-622-8770,1200 Providence Highway,,Sharon,MA,02067,415 N. Dearborn St.,4th Floor,Chicago,IL,60654,47-4470548,MP281715,Marijuana Product Manufacturer,Priority Review - MTC Priority,,,FINAL LICENSE,Active,,10000,1200 General Edwards Highway,,Sharon,02067,true,No,,,,,,APPROVED,RP201864,RPA201864,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MPN281715,1200 General Edwards Highway,,Sharon,MA,02067,Priority Review,MTC Priority,FALSE,Adult-Use
"Four Daughters Compassionate Care, Inc.",james.leventis@verano.holdings,224-622-8770,2-4 Merchant Street,,Sharon,MA,02067,415 N. Dearborn St.,4th Floor,Chicago,IL,60654,47-4470548,MR281552,Marijuana Retailer,Priority Review - MTC Priority,,,FINAL LICENSE,Active,,10000,2 Merchant Street Unit 1,,Sharon,02067,true,No,,,,,,APPROVED,RP201864,RPA201864,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN281552,2 Merchant Street Unit 1,,Sharon,MA,02067,Priority Review,MTC Priority,FALSE,Adult-Use
"Four Daughters Compassionate Care, Inc.",james.leventis@verano.holdings,224-622-8770,11 Richards Road,,Plymouth,MA,02360,415 N. Dearborn St.,4th Floor,Chicago,IL,60654,47-4470548,MR282232,Marijuana Retailer,Priority Review - MTC Priority,,,FINAL LICENSE,Active,,10000,11 Richards Road,,Plymouth,02360,true,No,,,,,,APPROVED,RP201864,RPA201864,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN282232,11 Richards Road,,Plymouth,MA,02360,Priority Review,MTC Priority,FALSE,Adult-Use
"Commcan, Inc.",ellen@rosenfeld-law.com,508-376-2041,2 Marc Road,,Medway,MA,02053,730 Main Street Suite 2A,,Millis,MA,02054,47-4619040,MC281642,Marijuana Cultivator,Priority Review - MTC Priority,,,FINAL LICENSE,Expired,,10000,2 Marc Road,,Medway,02053,true,No,,,,,,APPROVED,RP201907,RPA201907,Indoor,"Tier 05: 30,001 to 40,000 sq. ft",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,600,MCN281642,2 Marc Road,,Medway,MA,02053,Priority Review,MTC Priority,FALSE,Adult-Use
"Commcan, Inc.",ellen@rosenfeld-law.com,508-376-2041,2 Marc Road,,Medway,MA,02053,730 Main Street Suite 2A,,Millis,MA,02054,47-4619040,MP281508,Marijuana Product Manufacturer,Priority Review - MTC Priority,,,FINAL LICENSE,Expired,,5000,2 Marc Road,,Medway,02053,true,No,,,,,,APPROVED,RP201907,RPA201907,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MPN281508,2 Marc Road,,Medway,MA,02053,Priority Review,MTC Priority,FALSE,Adult-Use
"Commcan, Inc.",ellen@rosenfeld-law.com,508-376-2041,1525 Main Street,,Millis,MA,02054,730 Main Street Suite 2A,,MILLIS,MA,02054,47-4619040,MR282205,Marijuana Retailer,Priority Review - MTC Priority,,,FINAL LICENSE,Active,,5000,1525 Main Street,,Millis,02054,true,No,,,,,,APPROVED,RP201907,RPA201907,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN282205,1525 Main Street,,Millis,MA,02054,Priority Review,MTC Priority,FALSE,Adult-Use
"CommCan, Inc",ellen@rosenfeld-law.com,508-376-2041,730 Main Street ,Suite 2A,Millis,MA,02054,730 Main Street,Suite 2A,Millis,MA,02054,47-4619040,MR283001,Marijuana Retailer,Expedited Review - DBE Status,,,FINAL LICENSE,Active,,10000,150 Barney Avenue,,Rehoboth,02769,true,No,,,,,,APPROVED,RP201907,RPA201907,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MRN283001,150 Barney Avenue,,Rehoboth,MA,02769,Expedited Review,DBE Status,FALSE,Adult-Use
"CommCan, Inc.",ellen@rosenfeld-law.com,508-376-2041,"730 Main St., Suite 2A",,Millis,MA,02054,"730 Main St., Suite 2A",,Millis,MA,02054,47-4619040,MR284925,Marijuana Retailer,Expedited Review - DBE Status,,,FINAL LICENSE,Active,,10000,611 West St.,,Mansfield,02084,true,No,,,,,,APPROVED,RP201907,RP201907,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MRN284925,611 West Street,,Mansfield,MA,02084,Expedited Review,DBE Status,FALSE,Adult-Use
"Health Circle, Inc.",mwestort@healthcirclema.com,917-428-8461,21 Commerce Road,,Rockland,MA,02370,44 Amys Way,,Scituate,MA,02066,47-4634005,MC281787,Marijuana Cultivator,Priority Review - MTC Priority,,,FINAL LICENSE,Active,,5000,21 Commerce Road,,Rockland,02370,true,No,,,,,,APPROVED,RP201911,RP201911,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,600,MCN281787,21 Commerce Road,,Rockland,MA,02370,Priority Review,MTC Priority,FALSE,Adult-Use
"Health Circle, Inc.",mwestort@healthcirclema.com,917-428-8461,21 Commerce Road,,Rockland,MA,02370,44 Amys Way,,Scituate,MA,02066,47-4634005,MP281533,Marijuana Product Manufacturer,Priority Review - MTC Priority,,,PROVISIONAL LICENSE,Expired,,5000,21 Commerce Road,,Rockland,02370,true,No,,,,,,APPROVED,RP201911,RP201911,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MPN281533,21 Commerce Road,,Rockland,MA,02370,Priority Review,MTC Priority,FALSE,Adult-Use
"Health Circle, Inc.",mwestort@healthcirclema.com,917-428-8461,21 Commerce Road,,Rockland,MA,02370,44 Amys Way,,Scitute,MA,02066,47-4634005,MR281426,Marijuana Retailer,Priority Review - MTC Priority,,,FINAL LICENSE,Active,,5000,21 Commerce Road,,Rockland,02370,true,No,,,,,,APPROVED,RP201911,RP201911,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN281426,21 Commerce Road,,Rockland,MA,02370,Priority Review,MTC Priority,FALSE,Adult-Use
"Health Circle, Inc.",mwestort@healthcirclema.com,917-428-8461,21 Commerce Road,,Rockland,MA,02370,21 Commerce Rd,,Rockland,MA,02370,47-4634005,MR282585,Marijuana Retailer,Priority Review - MTC Priority,,,FINAL LICENSE,Active,,10000,120 Enterprise Drive,,Marshfield,02050,true,No,,,,,,APPROVED,RP201911,RP201911,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN282585,120 Enterprise Drive,,Marshfield,MA,02050,Priority Review,MTC Priority,FALSE,Adult-Use
Green Gold Group Inc,attorneyjamesmcmahon@gmail.com,203-520-8555,60 Prospect Street ,,North Brookfield,MA,01535,46 Appleton Street,,Boston,MA,02116,47-4984402,MC281649,Marijuana Cultivator,General Applicant,,,FINAL LICENSE,Active,,30000,60 Prospect Street,,North Brookfield,01535,False,No,,,,,,,,,Indoor,"Tier 07: 50,001 to 60,000 sq. ft",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,600,MCN281649,60 Prospect Street,,North Brookfield,MA,01535,General Applicant,General Applicant,FALSE,Adult-Use
"Green Gold Group, INC",attorneyjamesmcmahon@gmail.com,203-520-8555,60 Prospect Street,,North Brookfield,MA,01535,46 Appleton Street,,Boston,MA,02116,47-4984402,MP281456,Marijuana Product Manufacturer,General Applicant,,,FINAL LICENSE,Expired,,10000,60 Prospect Street,,North Brookfield,01535,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MPN281456,60 Prospect Street,,North Brookfield,MA,01535,General Applicant,General Applicant,FALSE,Adult-Use
"Green Gold Group, INC",attorneyjamesmcmahon@gmail.com,203-520-8555,60 Prospect Street,,North Brookfield,MA,01535,46 Appleton St,,Boston ,MA,02116,47-4984402,MR281791,Marijuana Retailer,General Applicant,,,FINAL LICENSE,Active,,10000,46 Worcester Road,,Charlton,01507,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN281791,46 Worcester Road,,Charlton,MA,01507,General Applicant,General Applicant,FALSE,Adult-Use
Green Gold Group,james@mcmahonstrategic.com,774-449-9888,60 Prospect Street,,North Brookfield,MA,01535,60 Prospect Street,,North Brookfield,MA,01535,47-4984402,MR284703,Marijuana Retailer,General Applicant,,,FINAL LICENSE,Active,,10000,1140 Thorndike Street,,Palmer,01069,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MRN284703,1140 Thorndike Street,,Palmer,MA,01069,General Applicant,General Applicant,FALSE,Adult-Use
"Green Gold Group, Inc.",attorneyjamesmcmahon@gmail.com,774-251-9888,60 Prospect Street,,North Brookfield,MA,01535,60 Prospect Street,,North Brookfield,MA,01535,47-4984402,RMD3831,Medical Marijuana Treatment Center,General Applicant,,,FINAL LICENSE,Active,,50000,1140 Thorndike Street,,Palmer,01069,False,No,,,,,,,,,Indoor,"Tier 07: 50,0001 to 60,000 sq. ft",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,3500,RMDA3831,1140 Thorndike Street,,Palmer,MA,01069,General Applicant,General Applicant,FALSE,Medical
