name,dba,slug,type,url,is_bad_url,street_address,city,state,zip_code,country,lat,lng,phone,email,license_state
WAWG INC,,wawg-inc,dispensary,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(510) 220-3436,Brandon.Birks@gmail.Com,C9-0000830-LIC
ENR SAC,Weedmo LLC,enr-sac,dispensary,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(559) 303-4866,Skgtrinity.Thomas@gmail.Com,C9-0000528-LIC
X GROUP,West Coast Green Rush LLC,x-group,dispensary,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(323) 219-2180,Tikojudo05@gmail.Com,C9-0000423-LIC
Yesca Oaks Delivery,West Coast Medical Finest Inc,yesca-oaks-delivery,dispensary,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(650) 540-3766,Info@wcmfinest.Org,C9-0000032-LIC
"Dreamy Delivery, Alpaca Club","Wholesome Delivery, Inc.",dreamy-delivery-alpaca-club,dispensary,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(707) 386-9674,Mjpasqual@gmail.Com,C9-0000204-LIC
"WINTER GREENS, LLC",,winter-greens-llc,dispensary,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(949) 999-2058,Twinter@winterLLP.Com,C9-0000061-LIC
Stealthee Delivery,Wmjh Logistics LLC,stealthee-delivery,dispensary,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(209) 594-8788,Wmjhlogistics@gmail.Com,C9-0000852-LIC
HITS LA,Yan B Delivery,hits-la,dispensary,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(818) 747-9818,Yanbdeliveryinc@gmail.Com,C9-0000819-LIC
YES DELIVERY LLC,,yes-delivery-llc,dispensary,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(310) 592-8318,Mattmartinez@yescannabis.Us,C9-0000661-LIC
Young Bulls Delivery,Young Bulls Delivery LLC,young-bulls-delivery,dispensary,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(562) 284-1545,Dcadena92@yahoo.Com,C9-0000660-LIC
Zen Life Organics LLC,,zen-life-organics-llc,dispensary,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(916) 917-8433,Wade@zenlifeorganics.Com,C9-0000791-LIC
Anresco Laboratories,"Anresco, Incorporated",anresco-laboratories,other,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(415) 822-1100,Sarah@anresco.Com,C8-0000052-LIC
"BAY POINT LABORATORIES, INC.",,bay-point-laboratories-inc,other,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(707) 747-6081,Timea.Majoros@baypointlabs.Com,C8-0000183-LIC
Cannabis Testing Laboratory,"Brightside Scientific, Inc.",cannabis-testing-laboratory,other,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(844) 420-5227,Team@brightsidesci.Com,C8-0000038-LIC
Encore Labs,Encore Labs LLC,encore-labs,other,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(626) 696-3086,Jwang@encore-Labs.Com,C8-0000179-LIC
Epic Solutions and Analytics LLC,,epic-solutions-and-analytics-llc,other,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(310) 795-0630,Info@epiclabla.Com,C8-0000178-LIC
Excelbis Labs,Excelbis Labs LLC,excelbis-labs,other,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(714) 595-1965,Keven@excelbislabs.Com,C8-0000059-LIC
Green Forest Laboratories,"Green Forest Labs, LLC",green-forest-laboratories,other,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(949) 297-5020,John@sunstarlabs.Com,C8-0000177-LIC
Harrens Lab Inc.,,harrens-lab-inc,other,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(510) 887-8885,Mingli@harrenslab.Com,C8-0000021-LIC
SQRD Lab,"Hk Holding, LLC",sqrd-lab,other,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(248) 819-0708,Sherifkhalil22@gmail.Com,C8-0000122-LIC
Quality Cannabis Laboratory,"Ils Labs, Inc.",quality-cannabis-laboratory,other,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(619) 750-6050,Barkalicensing@gmail.Com,C8-0000133-LIC
INFINITE CHEMICAL ANALYSIS LABS,Infinite Chemical Analysis Labs LLC,infinite-chemical-analysis-labs,other,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(858) 623-2740,Admin@infinitecal.Com,C8-0000047-LIC
"LANDAU LABORATORIES, INC",,landau-laboratories-inc,other,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(305) 606-5711,Georgkallert@mac.Com,C8-0000016-LIC
pH Solutions,"Ph Solutions, LLC",ph-solutions,other,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(818) 808-9757,Raquel@phsolutionslab.Com,C8-0000022-LIC
Pure Cannalyst Labs,"Pure Cannalyst Lab, Inc",pure-cannalyst-labs,other,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(949) 540-6960,A.Price@purecannalystlabs.Com,C8-0000175-LIC
Purity Medical Laboratories,Purity Medical Laboratories LLC,purity-medical-laboratories,other,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(949) 721-8600,Nader@puritymedlabs.Com,C8-0000143-LIC
"QUANT LEAF LABS, INC.",,quant-leaf-labs-inc,other,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(323) 647-9291,Cs@quantleaflabs.Com,C8-0000182-LIC
"SC Laboratories, SC Labs","Sc Laboratories California, LLC",sc-laboratories-sc-labs,other,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(866) 435-0709,Jeff@sclabs.Com,C8-0000013-LIC
U.S. CANNABIS LABORATORIES,,us-cannabis-laboratories,other,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(323) 359-5210,John@uscannabislaboratories.Com,C8-0000174-LIC
Decano Analytical Laboratories,Vk Labs LLC,decano-analytical-laboratories,other,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(657) 999-8999,Info@decanolabs.Org,C8-0000138-LIC
Data Not Available,1543 Newton LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(213) 567-4201,Jesse@shrynegroup.Com,CCL21-0004552
Data Not Available,"17325 MUSKRAT, INC",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(909) 297-6825,17325muskratinc@gmail.Com,CCL21-0002236
Data Not Available,"17k Muskrat 1, Inc.",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(714) 717-1145,Dbbnv@yahoo.Com,CCL20-0000276
Data Not Available,"17k Muskrat 2, Inc.",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(714) 717-0400,Sakotatarian@yahoo.Com,CCL19-0005395
Data Not Available,2020 Railroad Holdings LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(916) 799-9449,Tsheridan@sheridanlawgrp.Com,CCL22-0001325
Data Not Available,2100 E ARTESIA LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(747) 244-8983,Garenavetisyan@gmail.Com,CCL20-0002979
Data Not Available,3 COLOR ORGANIC LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(415) 370-7272,3colororganic@gmail.Com,CCL23-0000215
Data Not Available,335 GROGAN AVE LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(415) 710-3388,335groganaveLLC@gmail.Com,CCL21-0004672
Data Not Available,420-2 LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(310) 883-4341,Jonathan@levyre.Com,CCL19-0005009
Data Not Available,57KCKC Inc,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(408) 594-8626,Oakkc744@gmail.Com,CCL23-0000508
Data Not Available,"7POINTS GROUP, INC.",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(661) 378-4555,Wbishop@7points.Biz,CCL19-0002381
Data Not Available,"818 Brands Adelanto, LLC",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(310) 987-6670,818brandsadelanto@gmail.Com,CCL20-0002596
Data Not Available,8583 ECR 400 LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(775) 240-3055,Compliance@ccmup.Com,CCL23-0000011
Data Not Available,"88TH STREET HOLDINGS, LLC",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(916) 243-6982,Caleb.Regulatory@connectedca.Com,CCL18-0000983
Data Not Available,88th Street Genetix LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(916) 712-5172,Steve@cultivatedcalifornia.Com,CCL25-0000219
Data Not Available,AAA Stars Alliance LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(818) 296-5317,Aaastarsalliancedist@hotmail.Com,CCL20-0002572
Data Not Available,"AARE INVESTMENT, LLC",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(909) 261-6629,Ca420.Aare@gmail.Com,CCL22-0001258
Data Not Available,ABC Commerce LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(818) 395-8375,AbccommerceLLC@yahoo.Com,CCL22-0000332
Data Not Available,ACME 2189 LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(415) 990-4991,Tedo3000@gmail.Com,CCL21-0004913
Data Not Available,ALXV LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(512) 553-6914,Kozin.Boris@outlook.Com,CCL22-0001523
Data Not Available,AMERICAN APOTHECARY INC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(661) 618-7436,Edmarkosyan@yahoo.Com,CCL20-0003185
Data Not Available,ARMT CORPORATION,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(626) 890-1800,Armt1688@gmail.Com,CCL24-0000701
Data Not Available,"AS and BK, LLC",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(415) 859-8777,Billykuang629@yahoo.Com,CCL21-0000222
Data Not Available,AWF LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(619) 820-1270,Awf.LLC.Mail@gmail.Com,CCL21-0005577
Data Not Available,"Adelanto Venture, Inc.",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(323) 740-4134,Amyram600@gmail.Com,CCL21-0000136
Data Not Available,"Alger Cultivation, LLC",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(213) 804-4067,Joe@budandbloom.Co,CCL25-0000524
Data Not Available,"Amelia Street Ventures, LLC",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(310) 788-3445,Compliance@710labs.Com,CCL18-0001680
Data Not Available,Angry Group LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(628) 222-2888,Angrygroup7@gmail.Com,CCL21-0004684
Data Not Available,Area51zero LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(917) 520-1746,Area510LLC@gmail.Com,CCL21-0005582
Data Not Available,"Asceend Group, LLC",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(310) 210-2040,Echoi@amherstrec.Com,CCL20-0002962
Data Not Available,Bay Carlson Inc,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(510) 717-2285,Baycarlson7@gmail.Com,CCL21-0004682
Data Not Available,Black Lion Farms LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(720) 352-2380,Greg@gramlin.Com,CCL19-0001513
Data Not Available,C & L GENESIS INC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(415) 987-6893,Cl.Genesis.Usa@gmail.Com,CCL24-0000330
Data Not Available,CI Wellness LLC.,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(951) 675-4508,Nick@claybourneco.Com,CCL21-0004317
Data Not Available,"CONNECTED ENTERPRISES, LLC",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(916) 243-6982,Caleb.Regulatory@connectedca.Com,CCL21-0003629
Data Not Available,CONNECTED MERCED LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(916) 243-6982,Caleb.Regulatory@connectedca.Com,CCL21-0004623
Data Not Available,"CUT, LLC",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(530) 902-6861,Craig@natura.Io,CCL24-0000073
Data Not Available,"California Organic Treatment Center, Inc.",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(323) 632-6469,Aaron@traditional.Com,CCL19-0002057
Data Not Available,"Caligold, LLC dba POTWEST",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(949) 367-6044,Tracyenterprisescann@gmail.Com,CCL21-0000838
Data Not Available,"Canna Healthcare, Inc.",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(213) 321-5438,Allihanada@gmail.Com,CCL18-0001028
Data Not Available,"Chloroplant, Inc.",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(626) 298-9878,Corporate@chloroplant.Com,CCL22-0000228
Data Not Available,Clearview Strategies Inc.,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(310) 801-6059,Clearview1688@gmail.Com,CCL25-0000221
Data Not Available,Core City Group Inc.,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(818) 974-0444,Rosario@corecitygroup.Com,CCL23-0000052
Data Not Available,Cultiva LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(408) 668-5158,Leondt@cultivalabs.Com,CCL24-0000629
Data Not Available,DJCC Corporation,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(818) 599-0660,Djcc.Commerce@gmail.Com,CCL25-0000278
Data Not Available,"DT California, LLC",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(630) 667-8791,Dave@upnorthhumboldt.Com,CCL21-0005575
Data Not Available,,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(415) 601-7579,Kjdcollective563@gmail.Com,CCL23-0000562
Data Not Available,Desert Green Gardens Group LLC.,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(951) 236-6958,Rick@complianceguys.Com,CCL19-0002433
Data Not Available,EGM LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(510) 478-4309,70wohio@gmail.Com,CCL21-0004696
Data Not Available,"EJF, INC.",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(818) 512-2112,Williammelekyan@yahoo.Com,CCL18-0003284
Data Not Available,EMERALD CITY GENETICS,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(510) 806-5088,Emeraldcitywillits@gmail.Com,CCL18-0000328
Data Not Available,Eastern Sierra Group LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(510) 387-0597,EasternsierragroupLLC@gmail.Com,CCL21-0005599
Data Not Available,Edelweiss Enterprise LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(248) 767-5869,Jims@edelweissfarming.Com,CCL23-0000559
Data Not Available,"Edgewater Drive Productions, LLC",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(415) 299-1569,Martin@mksiinvestments.Com,CCL21-0000049
Data Not Available,Elevated Canopy Farms LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(415) 819-9369,Sfobrandi@gmail.Com,CCL24-0000256
Data Not Available,"Empire Perez, LLC",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(951) 880-6158,Empireperezcult@gmail.Com,CCL20-0000057
Data Not Available,Evergreen 810 Operations Inc.,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(510) 557-4110,S.Burgess@true-Vision.Co,CCL21-0005518
Data Not Available,Farm 209 LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(209) 602-9096,Lstephenendsley@gmail.Com,CCL20-0000926
Data Not Available,Fields Group Inc.,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(510) 410-1082,Kivastill@gmail.Com,CCL19-0002041
Data Not Available,Fiore Farms Construction and Operating LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(310) 422-4412,Fiorefarms.Cno@gmail.Com,CCL20-0003141
Data Not Available,Four Star Manufacturing LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(310) 344-5531,Neemasamari@gmail.Com,CCL18-0001019
Data Not Available,Fourth Pillar Inc,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(510) 812-1600,Fourthpillarinc@gmail.Com,CCL21-0001860
Data Not Available,"GCM Management Services, Inc.",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(707) 372-8723,Jayson@lumpysflowers.Com,CCL20-0002035
Data Not Available,"GOSSAMER GUILD, INC.",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(415) 301-8169,Gossamerguildinc@gmail.Com,CCL24-0000647
Data Not Available,GSFC LLC.,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(559) 786-8882,Bruce@valleypure.Net,CCL18-0001045
Data Not Available,"GWC Real Estate Services, LLC",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(818) 399-1308,Woodywong.Visioncapital@gmail.Com,CCL19-0003786
Data Not Available,"Gemstar Research Group, LLC",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(323) 868-6369,Gemstarresearchgroup@gmail.Com,CCL19-0001651
Data Not Available,"Green Aid Recovery Group, Inc.",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(213) 267-5016,Cavan@elevateholdings.Com,CCL22-0001922
Data Not Available,Green Ark Inc.,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(626) 341-9457,Sherri7125@gmail.Com,CCL23-0000065
Data Not Available,Green Diversity LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(530) 338-2128,Enihart@greendiversity.Net,CCL24-0000047
Data Not Available,Green Emerald Co LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(408) 715-7761,Rd7862@gmail.Com,CCL20-0000280
Data Not Available,Green Flora Garden LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(510) 220-3386,100wohio@gmail.Com,CCL21-0004769
Data Not Available,Green Hua LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(510) 258-2283,GreenhuaLLC@gmail.Com,CCL22-0001222
Data Not Available,Green Life Cali LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(310) 912-2960,Greenlifecalilicensing@gmail.Com,CCL22-0001229
Data Not Available,Green Meta Inc,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(510) 634-8131,Medford9801@gmail.Com,CCL23-0000222
Data Not Available,Green Oho LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(510) 928-6883,GreenohoLLC85@gmail.Com,CCL22-0000978
Data Not Available,Green Sha LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(510) 717-3138,Greensha85th@gmail.Com,CCL21-0005579
Data Not Available,"Green World Express, Inc",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(818) 390-2858,Sjavadian0@gmail.Com,CCL20-0002100
Data Not Available,"Greenceuticals, Inc.",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(925) 314-5011,Gippysodhi@gmail.Com,CCL19-0000278
Data Not Available,"Greene Brothers Farm, Inc.",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(925) 989-9636,Mjjohnson200@aol.Com,CCL22-0001146
Data Not Available,Greenfield Organix C2,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(213) 567-4201,Jameskimlicensing@gmail.Com,CCL24-0000657
Data Not Available,Greenfield Organix C2,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(213) 567-4201,Jameskimlicensing@gmail.Com,CCL24-0000658
Data Not Available,Greenfield Organix C2,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(213) 567-4201,Jameskimlicensing@gmail.Com,CCL24-0000659
Data Not Available,Greenfield Organix C2,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(213) 567-4201,Jameskimlicensing@gmail.Com,CCL24-0000660
Data Not Available,Greenfield Organix C2,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(213) 567-4201,Jameskimlicensing@gmail.Com,CCL24-0000661
Data Not Available,Greenfield Organix C2,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(213) 567-4201,Jameskimlicensing@gmail.Com,CCL24-0000662
Data Not Available,Greenfield Organix C2,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(213) 567-4201,Jameskimlicensing@gmail.Com,CCL24-0000663
Data Not Available,Greenfield Organix C2,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(213) 567-4201,Jameskimlicensing@gmail.Com,CCL24-0000664
Data Not Available,Greenfield Organix C2,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(213) 567-4201,Jameskimlicensing@gmail.Com,CCL24-0000665
Data Not Available,Greenfield Organix C2,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(213) 567-4201,Jameskimlicensing@gmail.Com,CCL24-0000667
Data Not Available,Grindstone Enterprise LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(510) 387-0597,Grindstoneenterprise@gmail.Com,CCL21-0005241
Data Not Available,"Growth Spike Holdings, LLC",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(210) 885-0517,Sparksgrowthspike@gmail.Com,CCL22-0001376
Data Not Available,Guisheng Garden Inc,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(626) 695-9710,Guishenggarden7@gmail.Com,CCL21-0004683
Data Not Available,H&N INVESTMENTS INC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(646) 283-9288,Sammyli2014@gmail.Com,CCL21-0005716
Data Not Available,"HD Biotech, Inc.",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(323) 702-1868,Melhoward40@gmail.Com,CCL19-0001141
Data Not Available,HERBAL REMEDIES CAREGIVERS INC.,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(310) 893-4856,Bishop1623@gmail.Com,CCL19-0001449
Data Not Available,"High Caliber Organics, Inc.",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(909) 438-1626,Nfogwell@hcorganics.Com,CCL18-0001727
Data Not Available,High Creations LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(760) 904-7832,GmconsultingLLC@outlook.Com,CCL23-0000363
Data Not Available,"High Desert Research and Development, Incorporated",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(818) 913-6261,Arman@exhalence.La,CCL25-0000271
Data Not Available,High Mart Monterey LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(415) 971-2304,Highmartmonterey@gmail.Com,CCL24-0000573
Data Not Available,Highst Co.,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(415) 813-7727,Highstreetca@gmail.Com,CCL23-0000646
Data Not Available,"Highstar, LLC",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(702) 513-2542,Madalyn@cannabiotix.Com,CCL23-0000118
Data Not Available,"Hitech Imaging Trade, Inc.",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(323) 336-7747,Panosyankristina@gmail.Com,CCL18-0002652
Data Not Available,Hollister Holistics,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(310) 309-9848,Dimitry6995@yahoo.Com,CCL20-0002849
Data Not Available,Horizon Collective Inc.,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(916) 870-8067,Horizoncollective@yahoo.Com,CCL18-0000174
Data Not Available,Hundred Flowers Inc.,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(909) 896-3330,Paulshyycarriage@gmail.Com,CCL20-0001276
Data Not Available,"Ideal Chill Corp., Inc.",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(818) 392-0270,Zoloto64@gmail.Com,CCL22-0001286
Data Not Available,"Imperial Innovations Group, Inc",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(831) 420-7739,Josh@ii-Team.Com,CCL19-0002391
Data Not Available,In & Out Trading,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(510) 388-9322,Fenchen2009@yahoo.Com,CCL22-0001632
Data Not Available,"Ironworks Collective, Inc.",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(213) 567-4201,Jonavidorlicensing@gmail.Com,CCL21-0005264
Data Not Available,"J. Sheon Green, LLC",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(916) 230-6060,Julie@abrateandolsen.Com,CCL20-0003168
Data Not Available,"JADE SMILE GARDEN, LLC",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(510) 333-6839,Jadesmilegarden@gmail.Com,CCL24-0000309
Data Not Available,JKL Sunshine Corporation,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(415) 830-0364,Kcplumbing2002@yahoo.Com,CCL23-0000290
Data Not Available,JVA Research Center,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(818) 391-0850,Tamar@jvaresearchcenter.Com,CCL22-0001270
Data Not Available,K & M Genesis Inc,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(415) 202-3043,703105thave@gmail.Com,CCL24-0000653
Data Not Available,L & L Capital Property Management LLC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(510) 837-8237,Landl545dcc@hotmail.Com,CCL21-0006085
Data Not Available,LFTG INC,data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(323) 440-5632,Ramiro-Moran@live.Com,CCL21-0000388
Data Not Available,"LUZAN PARC, INC.",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(510) 646-8289,Luzanparc@hotmail.Com,CCL23-0000451
Data Not Available,"LandB Capital Investments, LLC",data-not-available,cultivator,,,Not Published,Data Not Available,CA,Data Not Available,US,,,(510) 387-0597,Landbinvestments83@gmail.Com,CCL21-0005062
